3,"select ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, objID from photoObj where ra BETWEEN # and # AND type = # AND modelMag_g < # AND modelMag_u - modelMag_g > #"
2019-07-23 16:11:00,1
2019-07-23 16:13:00,2
