12,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u_band, p.dered_g as g_band, p.dered_r as r_band, p.dered_i as i_band, p.dered_z as z_band, s.z, s.plate, s.mjd, s.fiberid, pz.absMagU as Abs_u, pz.absMagG as Abs_g, pz.absMagR as Abs_r, pz.absMagI as Abs_i, pz.absMagZ as Abs_z, n.sersic_n as sersic_n FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN Photoz AS pz ON pz.objID = p.objID JOIN nsatlas AS n ON n.mjd = s.mjd and n.fiberID = s.fiberID and n.plate = s.plate WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and # and p.g < #"
2019-11-29 12:31:00,1
2019-11-29 12:32:00,1
2019-11-30 13:05:00,1
2019-11-30 13:06:00,1
2019-11-30 13:07:00,1
2019-12-01 09:51:00,1
2019-12-01 09:52:00,1
2019-12-01 09:57:00,2
2019-12-01 10:16:00,1
2019-12-01 10:20:00,1
2019-12-01 10:21:00,1
