103,select * from public.ncarey.session_eeg where session_ID = # order by timestamp
2019-01-24 16:37:00,1
2019-01-24 16:40:00,2
2019-01-24 16:41:00,2
2019-01-24 16:42:00,3
2019-01-24 16:43:00,3
2019-01-24 16:44:00,2
2019-01-24 16:45:00,3
2019-01-24 16:46:00,3
2019-01-24 18:08:00,3
2019-01-24 18:09:00,3
2019-01-24 18:10:00,2
2019-01-24 18:11:00,3
2019-01-24 18:12:00,2
2019-01-24 18:13:00,3
2019-01-24 18:14:00,2
2019-01-25 11:32:00,1
2019-01-25 11:33:00,2
2019-01-25 11:34:00,2
2019-01-25 11:35:00,3
2019-01-25 11:36:00,2
2019-01-25 11:37:00,3
2019-01-25 11:38:00,3
2019-01-25 11:39:00,2
2019-01-26 12:25:00,2
2019-01-26 12:26:00,3
2019-01-26 12:27:00,2
2019-01-26 12:28:00,3
2019-01-26 12:29:00,2
2019-01-26 12:30:00,3
2019-01-26 12:31:00,3
2019-01-26 13:34:00,1
2019-01-26 13:35:00,5
2019-01-26 13:36:00,3
2019-01-26 13:37:00,2
2019-01-26 13:38:00,3
2019-01-26 13:39:00,3
2019-01-26 13:40:00,2
2019-01-26 13:41:00,3
2019-02-21 11:47:00,1
2019-02-21 11:50:00,1
2019-02-21 11:53:00,1
2019-02-21 11:54:00,1
2019-02-21 11:56:00,1
2019-02-21 11:57:00,2
2019-02-21 11:58:00,1
