16,"SELECT p.objid, p.ra, p.dec, p.g, p.r, p.type, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-08-28 08:14:00,1
2019-08-28 09:29:00,1
2019-08-30 08:26:00,1
2019-10-02 11:44:00,1
2019-10-02 11:55:00,1
2019-10-22 11:46:00,2
2019-10-24 07:41:00,1
2019-10-24 09:04:00,2
2019-10-24 15:48:00,1
2019-10-25 08:30:00,1
2019-10-25 09:23:00,1
2019-10-25 10:09:00,1
2019-10-28 08:25:00,1
2019-10-28 08:27:00,1
