8,"select top # ra, dec, sky_u, sky_r, sky_i, objID from photoObj where type = # and (ra between # and #) and (dec between # and #)"
2019-04-26 06:28:00,1
2019-04-26 06:34:00,1
2019-04-26 06:35:00,1
2019-04-26 06:36:00,1
2019-04-26 06:37:00,2
2019-04-26 06:38:00,2
