4,"SELECT TOP # objid, ra, dec FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-08-15 07:20:00,2
2019-08-15 07:22:00,1
2019-08-15 07:26:00,1
