135,"select count (*) from galaxy p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-03-04 02:05:00,1
2019-03-04 02:08:00,1
2019-03-04 02:09:00,1
2019-03-05 03:40:00,1
2019-03-05 03:41:00,1
2019-03-05 03:42:00,1
2019-03-05 03:43:00,2
2019-03-05 03:44:00,1
2019-03-05 03:46:00,2
2019-03-05 03:47:00,3
2019-03-05 03:57:00,1
2019-03-05 03:59:00,1
2019-03-05 04:00:00,2
2019-03-05 04:01:00,1
2019-03-05 04:02:00,1
2019-03-05 04:03:00,1
2019-03-05 18:01:00,1
2019-03-05 18:39:00,1
2019-03-05 18:40:00,1
2019-03-05 18:42:00,1
2019-03-05 18:43:00,1
2019-03-05 18:45:00,2
2019-03-05 18:46:00,1
2019-03-05 18:48:00,1
2019-03-05 18:50:00,1
2019-03-05 18:51:00,2
2019-03-05 18:52:00,5
2019-03-05 18:53:00,1
2019-03-05 18:54:00,3
2019-03-05 18:56:00,1
2019-03-05 22:02:00,1
2019-03-05 22:05:00,1
2019-03-05 22:08:00,2
2019-03-06 02:32:00,1
2019-03-06 02:33:00,1
2019-03-06 02:37:00,2
2019-03-06 02:41:00,1
2019-03-06 02:42:00,1
2019-03-06 02:43:00,1
2019-03-06 03:56:00,1
2019-03-06 03:57:00,2
2019-03-06 03:58:00,2
2019-03-06 04:00:00,2
2019-03-06 04:01:00,1
2019-03-06 04:03:00,1
2019-03-06 04:32:00,1
2019-03-06 04:35:00,1
2019-03-06 16:30:00,1
2019-03-06 16:31:00,1
2019-03-06 19:08:00,1
2019-03-06 19:09:00,1
2019-03-06 19:10:00,1
2019-03-06 20:59:00,1
2019-03-06 21:03:00,1
2019-03-06 21:07:00,1
2019-03-06 21:08:00,2
2019-03-06 21:09:00,1
2019-03-07 18:10:00,3
2019-03-07 18:11:00,1
2019-03-07 18:12:00,2
2019-03-07 18:13:00,2
2019-03-07 18:14:00,1
2019-03-07 18:15:00,2
2019-03-07 18:17:00,1
2019-03-07 18:51:00,1
2019-03-07 18:52:00,1
2019-03-07 20:09:00,1
2019-03-07 21:42:00,1
2019-03-08 18:09:00,1
2019-03-08 18:10:00,2
2019-03-08 18:11:00,3
2019-03-08 18:12:00,2
2019-03-08 18:13:00,1
2019-03-08 18:14:00,2
2019-03-11 01:37:00,1
2019-03-12 18:59:00,1
2019-03-12 19:02:00,1
2019-03-12 19:04:00,1
2019-03-13 19:14:00,1
2019-03-13 19:15:00,2
2019-03-13 19:16:00,1
2019-09-24 19:27:00,2
2019-09-24 19:28:00,3
2019-09-24 19:29:00,3
2019-09-24 19:30:00,3
2019-09-24 19:31:00,2
2019-09-24 19:32:00,2
2019-09-24 19:33:00,3
2019-09-24 19:35:00,3
2019-09-24 19:36:00,2
2019-10-23 12:08:00,1
