41,"SELECT p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND p.r BETWEEN # AND # AND p.i BETWEEN # AND # AND p.z BETWEEN # AND #"
2019-01-26 11:24:00,1
2019-01-26 11:26:00,1
2019-01-26 11:39:00,1
2019-01-26 11:48:00,1
2019-03-03 11:26:00,1
2019-03-03 12:35:00,1
2019-03-04 15:02:00,1
2019-03-27 20:34:00,1
2019-03-28 14:59:00,1
2019-04-18 16:50:00,1
2019-04-18 16:59:00,1
2019-04-18 17:04:00,1
2019-04-18 17:24:00,1
2019-04-18 17:26:00,1
2019-04-18 17:27:00,1
2019-04-18 17:29:00,1
2019-04-18 19:19:00,1
2019-04-18 19:50:00,1
2019-04-18 19:51:00,1
2019-04-18 20:23:00,1
2019-04-18 20:28:00,1
2019-04-18 20:47:00,2
2019-04-18 20:49:00,1
2019-04-18 20:56:00,1
2019-04-18 21:04:00,1
2019-04-25 03:05:00,1
2019-04-25 03:22:00,1
2019-04-25 03:35:00,1
2019-04-25 13:54:00,1
2019-04-25 14:20:00,1
2019-04-25 14:22:00,1
2019-04-25 14:26:00,1
2019-04-25 14:34:00,1
2019-04-25 14:36:00,1
2019-04-25 14:45:00,1
2019-04-26 18:12:00,1
2019-04-26 18:27:00,1
2019-10-24 02:03:00,1
2019-11-15 17:10:00,1
2019-11-15 17:22:00,1
