231,SELECT * FROM CMASS_S_cmassref_matches_batch_#
2019-06-12 16:34:00,1
2019-06-13 13:04:00,1
2019-06-14 13:41:00,1
2019-06-14 13:59:00,1
2019-06-14 14:16:00,1
2019-06-14 14:31:00,1
2019-06-14 14:56:00,1
2019-06-14 15:12:00,1
2019-06-14 15:30:00,1
2019-06-14 15:47:00,1
2019-06-14 16:07:00,1
2019-06-14 16:26:00,1
2019-06-14 16:46:00,1
2019-06-14 17:08:00,1
2019-06-14 17:27:00,1
2019-06-14 17:45:00,1
2019-06-14 18:06:00,1
2019-06-14 18:23:00,1
2019-06-14 18:39:00,1
2019-06-14 18:57:00,1
2019-06-14 19:19:00,1
2019-06-14 19:40:00,1
2019-06-14 19:59:00,1
2019-06-14 20:01:00,1
2019-06-18 09:49:00,1
2019-06-18 10:05:00,1
2019-06-18 10:33:00,1
2019-06-18 11:03:00,1
2019-06-18 11:21:00,1
2019-06-18 12:42:00,1
2019-06-18 13:00:00,1
2019-06-18 13:16:00,1
2019-06-18 13:35:00,1
2019-06-18 13:53:00,1
2019-06-18 14:10:00,1
2019-06-18 14:28:00,1
2019-06-18 14:46:00,1
2019-06-18 15:02:00,1
2019-06-18 15:19:00,1
2019-06-18 15:35:00,1
2019-06-18 15:54:00,1
2019-06-18 16:11:00,1
2019-06-18 16:31:00,1
2019-06-18 16:47:00,1
2019-06-18 17:06:00,1
2019-06-18 17:21:00,1
2019-06-20 11:05:00,1
2019-06-20 11:26:00,1
2019-06-20 12:35:00,1
2019-06-20 12:56:00,1
2019-06-20 13:12:00,1
2019-06-20 13:34:00,1
2019-06-20 13:51:00,1
2019-06-20 14:11:00,1
2019-06-20 14:32:00,1
2019-06-20 14:48:00,1
2019-06-20 15:07:00,1
2019-06-21 11:45:00,1
2019-06-21 12:19:00,1
2019-06-21 12:35:00,1
2019-06-21 12:51:00,1
2019-06-21 13:09:00,1
2019-06-21 13:26:00,1
2019-06-21 13:41:00,1
2019-06-21 14:01:00,1
2019-06-21 14:16:00,1
2019-06-21 14:33:00,1
2019-06-21 14:50:00,1
2019-06-21 15:06:00,1
2019-06-21 15:29:00,1
2019-06-21 15:45:00,1
2019-06-21 16:02:00,1
2019-06-21 16:16:00,1
2019-06-21 16:33:00,1
2019-06-21 16:48:00,1
2019-06-21 17:04:00,1
2019-06-21 17:20:00,1
2019-06-25 15:43:00,1
2019-06-25 15:58:00,1
2019-06-25 16:14:00,1
2019-06-25 16:35:00,1
2019-06-25 16:54:00,1
2019-06-25 17:10:00,1
2019-06-28 11:08:00,1
2019-06-28 11:30:00,1
2019-06-28 12:34:00,1
2019-06-28 12:54:00,1
2019-06-28 13:12:00,1
2019-06-28 13:28:00,1
2019-06-28 13:45:00,1
2019-06-28 14:01:00,1
2019-06-28 14:18:00,1
2019-06-28 14:36:00,1
2019-06-28 14:52:00,1
2019-06-28 15:09:00,1
2019-06-28 15:25:00,1
2019-06-28 15:45:00,1
2019-06-28 16:11:00,1
2019-06-28 16:32:00,1
2019-06-28 16:48:00,1
2019-06-28 17:06:00,1
2019-07-08 10:54:00,1
2019-07-08 11:15:00,1
2019-07-08 11:43:00,1
2019-07-08 12:23:00,1
