27,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid"
2019-04-26 22:46:00,1
2019-04-26 22:47:00,1
2019-04-26 22:56:00,1
2019-04-30 16:45:00,1
2019-04-30 19:27:00,1
2019-05-18 10:45:00,1
2019-05-22 13:26:00,1
2019-05-30 07:07:00,1
2019-09-11 01:25:00,1
2019-09-16 02:19:00,1
2019-09-20 01:40:00,1
2019-09-20 01:41:00,1
2019-09-20 01:42:00,1
2019-10-14 21:49:00,1
2019-12-15 20:44:00,2
2019-12-15 21:00:00,1
2019-12-15 21:17:00,2
2019-12-15 21:19:00,2
2019-12-15 21:20:00,1
2019-12-15 21:21:00,1
2019-12-15 21:22:00,2
2019-12-15 21:26:00,1
2019-12-15 21:27:00,1
