10,"SELECT p.cModelMag_g, p.cModelMag_r, p.cModelMag_i, p.cModelMag_z, p.cModelMagErr_g, p.cModelMagErr_r, p.cModelMagErr_i, p.cModelMagErr_z, p.objID, p.ra, p.dec, s.z, s.zErr, s.ra, s.dec, pz.z, pz.zErr into mydb.SDSS0# from Galaxy as p LEFT JOIN SpecPhotoAll as s ON p.objID = s.objID LEFT JOIN Photoz as pz ON p.objID = pz.objID WHERE pz.z < = # AND # < = p.ra AND p.ra < #"
2019-10-11 04:33:00,1
2019-10-11 04:35:00,1
2019-10-11 04:36:00,1
2019-10-11 04:38:00,1
2019-10-11 04:40:00,1
2019-10-11 04:41:00,1
2019-10-11 04:42:00,1
2019-10-11 04:44:00,1
2019-10-11 04:54:00,1
2019-12-12 02:34:00,1
