81,"select top # p.objid, p.ra, p.dec, p.g, p.r, s.z from photoObj p join specObj s on s.bestobjid = p.objid where p.ra between # and # and p.dec between # and #"
2019-01-04 13:41:00,1
2019-01-28 15:25:00,1
2019-01-28 15:54:00,3
2019-01-28 16:02:00,2
2019-01-28 16:06:00,1
2019-01-28 16:37:00,3
2019-01-28 16:41:00,1
2019-01-28 16:42:00,1
2019-01-29 14:36:00,1
2019-01-31 14:53:00,1
2019-01-31 15:09:00,1
2019-01-31 15:22:00,1
2019-02-01 14:42:00,1
2019-02-01 14:45:00,1
2019-02-01 16:30:00,1
2019-02-04 14:43:00,2
2019-02-04 14:45:00,2
2019-02-05 09:36:00,1
2019-02-05 09:41:00,1
2019-02-05 09:45:00,1
2019-02-05 09:48:00,1
2019-02-07 15:29:00,1
2019-02-14 13:20:00,2
2019-02-14 14:18:00,1
2019-02-15 16:01:00,1
2019-02-15 16:03:00,2
2019-02-15 16:24:00,1
2019-02-22 05:21:00,1
2019-03-01 15:48:00,1
2019-03-01 15:49:00,2
2019-03-01 16:31:00,1
2019-03-12 11:42:00,1
2019-03-14 11:18:00,1
2019-05-10 03:27:00,2
2019-05-16 10:45:00,1
2019-06-08 09:43:00,1
2019-06-10 10:55:00,1
2019-06-10 11:57:00,1
2019-06-10 13:39:00,1
2019-06-13 17:10:00,1
2019-06-14 12:56:00,1
2019-07-30 17:19:00,1
2019-09-04 14:35:00,1
2019-09-18 16:05:00,5
2019-10-06 11:44:00,1
2019-10-08 12:42:00,1
2019-10-10 20:16:00,2
2019-10-10 20:19:00,1
2019-10-10 20:20:00,1
2019-10-23 12:32:00,2
2019-11-19 17:07:00,1
2019-11-19 17:08:00,1
2019-11-19 17:12:00,2
2019-11-19 17:13:00,1
2019-11-20 04:30:00,1
2019-12-02 16:20:00,1
2019-12-09 15:31:00,2
2019-12-14 10:50:00,1
2019-12-15 15:58:00,1
2019-12-22 18:18:00,1
2019-12-22 18:23:00,1
2019-12-30 05:35:00,1
