2,"SELECT oiii_#_flux, oii_#_flux, nii_#_flux, h_beta_flux, h_alpha_flux INTO mydb.nearGalaxiesFluxes_BROADLINE FROM dr1#.galSpecLine WHERE specObjID IN ()"
2019-07-19 04:37:00,1
2019-07-19 07:23:00,1
