218,"select p.objid, p.ra, p.dec, p.psfmag_i, n.distance from photoobjall as p, dbo.fGetNearbyObjEq (#, #, #) as n where p.objID = N.objID and p.type = # and p.psfmag_i< #"
2019-04-09 20:06:00,2
2019-04-09 20:14:00,3
2019-04-09 20:15:00,10
2019-04-09 20:16:00,9
2019-04-09 20:17:00,12
2019-04-09 20:18:00,7
2019-04-27 06:39:00,2
2019-04-27 06:40:00,31
2019-06-08 23:45:00,1
2019-06-08 23:46:00,4
2019-06-08 23:47:00,5
2019-06-08 23:48:00,5
2019-06-08 23:49:00,5
2019-06-08 23:55:00,15
2019-06-09 00:01:00,11
2019-06-09 23:01:00,20
2019-06-17 23:25:00,1
2019-06-17 23:26:00,2
2019-06-17 23:28:00,1
2019-06-17 23:29:00,1
2019-06-17 23:30:00,2
2019-06-17 23:31:00,9
2019-06-17 23:32:00,9
2019-06-17 23:33:00,2
2019-06-17 23:34:00,1
2019-06-17 23:36:00,1
2019-06-17 23:37:00,6
2019-06-17 23:58:00,8
2019-06-17 23:59:00,5
2019-06-18 00:00:00,2
2019-06-18 00:04:00,8
2019-06-18 00:05:00,8
2019-06-18 00:06:00,6
2019-06-21 18:50:00,1
2019-06-21 18:53:00,1
2019-06-21 18:54:00,1
2019-06-21 18:56:00,1
