7,"INSERT INTO employee VALUES (#, #, #, #) , (#, #, #, #) , (#, #, #, #) , (#, #, #, #) , (#, #, #, #) , (#, #, #, #) , (#, #, #, #) , (#, #, #, #)"
2019-03-30 13:51:00,1
2019-03-30 13:52:00,3
2019-03-30 13:53:00,3
