494,"SELECT TOP # plateifu, mangaid, objra, objdec, mngtarg1, drp3qual FROM mangadrpall WHERE mngtarg1 ! = # or mngtarg3 ! = #"
2019-01-01 20:29:00,1
2019-01-02 23:34:00,1
2019-01-03 11:19:00,1
2019-01-03 18:33:00,1
2019-01-06 19:39:00,1
2019-01-08 02:52:00,1
2019-01-08 04:35:00,1
2019-01-08 18:13:00,1
2019-01-08 23:52:00,1
2019-01-09 05:14:00,1
2019-01-09 15:27:00,1
2019-01-09 18:32:00,1
2019-01-10 02:45:00,1
2019-01-11 17:13:00,1
2019-01-14 11:51:00,1
2019-01-16 02:45:00,1
2019-01-17 18:37:00,1
2019-01-17 21:55:00,1
2019-01-17 21:56:00,1
2019-01-17 23:48:00,1
2019-01-21 17:52:00,1
2019-01-22 15:03:00,1
2019-01-22 16:06:00,1
2019-01-22 16:11:00,1
2019-01-22 17:11:00,1
2019-01-22 20:48:00,1
2019-01-23 12:17:00,1
2019-01-24 14:46:00,1
2019-01-26 23:17:00,1
2019-01-27 21:14:00,1
2019-01-28 16:50:00,1
2019-01-30 03:45:00,1
2019-01-30 19:25:00,2
2019-01-30 21:43:00,1
2019-01-31 02:05:00,1
2019-01-31 04:54:00,1
2019-01-31 19:56:00,1
2019-01-31 23:54:00,1
2019-02-01 13:13:00,1
2019-02-02 00:20:00,1
2019-02-02 12:28:00,1
2019-02-02 13:55:00,1
2019-02-03 16:34:00,1
2019-02-05 00:22:00,1
2019-02-05 05:18:00,1
2019-02-07 07:11:00,1
2019-02-09 15:19:00,1
2019-02-10 18:26:00,1
2019-02-12 00:09:00,1
2019-02-12 10:15:00,1
2019-02-12 18:11:00,1
2019-02-13 16:32:00,1
2019-02-14 12:32:00,1
2019-02-14 15:29:00,1
2019-02-14 16:17:00,1
2019-02-16 04:23:00,1
2019-02-16 11:56:00,1
2019-02-17 08:52:00,1
2019-02-18 00:49:00,1
2019-02-19 15:08:00,1
2019-02-19 19:06:00,1
2019-02-20 01:00:00,1
2019-02-21 01:52:00,1
2019-02-21 15:56:00,1
2019-02-21 16:51:00,1
2019-02-21 18:51:00,1
2019-02-22 09:13:00,1
2019-02-23 13:28:00,1
2019-02-26 01:10:00,1
2019-02-26 13:14:00,1
2019-02-27 21:51:00,1
2019-02-28 07:45:00,1
2019-02-28 16:48:00,1
2019-03-01 10:27:00,1
2019-03-01 21:57:00,1
2019-03-01 22:11:00,1
2019-03-03 05:45:00,1
2019-03-03 17:10:00,1
2019-03-04 05:03:00,1
2019-03-04 10:13:00,1
2019-03-04 18:55:00,1
2019-03-04 18:56:00,1
2019-03-04 18:57:00,2
2019-03-04 18:58:00,1
2019-03-06 14:02:00,1
2019-03-06 17:19:00,1
2019-03-07 02:48:00,1
2019-03-07 11:00:00,1
2019-03-08 04:45:00,1
2019-03-09 01:39:00,1
2019-03-10 08:56:00,1
2019-03-11 02:31:00,1
2019-03-11 17:16:00,1
2019-03-12 21:59:00,1
2019-03-13 08:34:00,1
2019-03-14 17:17:00,1
2019-03-15 01:37:00,1
2019-03-16 03:56:00,1
2019-03-17 18:15:00,1
2019-03-19 09:56:00,1
2019-03-19 17:34:00,1
2019-03-19 17:35:00,1
2019-03-20 12:57:00,1
2019-03-20 21:18:00,1
2019-03-25 06:11:00,1
2019-03-25 13:17:00,1
2019-03-25 14:56:00,1
2019-03-26 07:30:00,1
2019-03-26 12:21:00,1
2019-03-27 04:16:00,1
2019-03-27 19:54:00,1
2019-03-29 12:01:00,1
2019-03-31 18:40:00,1
2019-04-02 13:02:00,1
2019-04-05 00:26:00,1
2019-04-05 11:09:00,1
2019-04-05 17:19:00,1
2019-04-06 02:06:00,1
2019-04-06 05:34:00,1
2019-04-06 07:30:00,1
2019-04-07 15:09:00,1
2019-04-08 04:22:00,1
2019-04-08 13:14:00,1
2019-04-08 19:44:00,1
2019-04-08 20:02:00,1
2019-04-09 05:43:00,1
2019-04-09 07:26:00,1
2019-04-10 12:27:00,2
2019-04-10 14:12:00,1
2019-04-13 22:26:00,1
2019-04-14 20:58:00,1
2019-04-15 02:46:00,1
2019-04-15 20:02:00,1
2019-04-16 03:44:00,1
2019-04-16 08:42:00,1
2019-04-18 17:18:00,1
2019-04-19 00:26:00,1
2019-04-22 12:44:00,1
2019-04-23 04:53:00,1
2019-04-24 03:08:00,1
2019-04-24 18:23:00,1
2019-04-25 07:08:00,1
2019-04-25 09:50:00,1
2019-04-26 20:15:00,1
2019-04-27 05:34:00,1
2019-04-27 11:10:00,1
2019-04-27 11:56:00,1
2019-04-28 07:44:00,1
2019-04-28 11:02:00,1
2019-04-28 12:04:00,1
2019-04-28 13:39:00,1
2019-04-29 05:01:00,1
2019-04-29 23:48:00,1
2019-04-30 00:08:00,1
2019-04-30 04:34:00,1
2019-04-30 20:27:00,1
2019-05-01 06:45:00,1
2019-05-02 23:27:00,1
2019-05-03 09:55:00,1
2019-05-04 01:05:00,1
2019-05-06 20:07:00,1
2019-05-07 01:59:00,1
2019-05-09 05:39:00,1
2019-05-10 11:55:00,1
2019-05-12 01:34:00,1
2019-05-13 09:09:00,1
2019-05-13 10:54:00,1
2019-05-14 01:43:00,1
2019-05-14 13:03:00,1
2019-05-15 03:07:00,1
2019-05-16 07:58:00,1
2019-05-19 13:24:00,1
2019-05-21 06:17:00,1
2019-05-21 07:03:00,1
2019-05-21 12:04:00,1
2019-05-21 13:09:00,1
2019-05-21 14:22:00,1
2019-05-21 20:03:00,1
2019-05-22 08:25:00,1
2019-05-23 04:24:00,1
2019-05-23 09:55:00,1
2019-05-23 13:15:00,1
2019-05-24 00:27:00,1
2019-05-24 23:01:00,1
2019-05-25 00:05:00,1
2019-05-25 00:24:00,1
2019-05-26 03:39:00,1
2019-05-26 22:39:00,1
2019-05-27 12:48:00,1
2019-05-28 11:00:00,1
2019-05-29 03:46:00,1
2019-05-30 17:35:00,1
2019-05-31 00:10:00,1
2019-05-31 04:13:00,1
2019-06-01 04:20:00,1
2019-06-02 20:49:00,1
2019-06-04 15:27:00,1
2019-06-07 09:05:00,1
2019-06-08 18:15:00,1
2019-06-11 16:15:00,1
2019-06-11 22:07:00,1
2019-06-12 05:19:00,1
2019-06-13 07:21:00,1
2019-06-14 09:08:00,1
2019-06-14 22:14:00,1
2019-06-15 00:14:00,1
2019-06-15 14:24:00,1
2019-06-15 18:01:00,1
2019-06-16 10:42:00,1
2019-06-16 16:16:00,1
2019-06-16 21:13:00,1
