2,"select specobjid, ra, dec, psfmag_u, psfmag_g, psfmag_r, psfmag_i, psfmag_z, z, class from SpecPhotoAll into mydb.MyTable_# where class = #"
2019-08-08 09:05:00,1
2019-08-08 09:06:00,1
