3,"select top # objid, SpecObjID, modelmag_u, modelmag_g, modelmag_r, modelmag_i, modelmag_z, z from SpecPhoto where specclass = # and zconf > .#"
2019-03-21 02:13:00,1
2019-03-21 02:14:00,2
