3586,"select ra, dec, u, g, r, i, z, TAI_u, TAI_g, TAI_r, TAI_i, TAI_z from PhotoObjAll where dec < # AND dec > # AND (ra > # AND ra < #)"
2019-11-21 12:36:00,1
2019-11-21 12:37:00,8
2019-11-21 12:38:00,11
2019-11-21 12:39:00,12
2019-11-21 12:40:00,12
2019-11-21 12:41:00,15
2019-11-21 12:42:00,12
2019-11-21 12:43:00,1
2019-11-21 13:39:00,4
2019-11-21 13:40:00,11
2019-11-21 13:41:00,11
2019-11-21 13:42:00,12
2019-11-21 13:43:00,10
2019-11-21 13:44:00,12
2019-11-21 13:45:00,12
2019-11-21 13:46:00,12
2019-11-21 13:47:00,12
2019-11-21 13:48:00,11
2019-11-21 13:49:00,11
2019-11-21 13:50:00,11
2019-11-21 13:51:00,10
2019-11-21 13:52:00,9
2019-11-21 13:53:00,9
2019-11-21 13:54:00,9
2019-11-21 13:55:00,8
2019-11-21 13:56:00,8
2019-11-21 13:57:00,10
2019-11-21 13:58:00,8
2019-11-21 13:59:00,9
2019-11-21 14:00:00,8
2019-11-21 14:01:00,9
2019-11-21 14:02:00,8
2019-11-21 14:03:00,10
2019-11-21 14:04:00,8
2019-11-21 14:05:00,10
2019-11-21 14:06:00,10
2019-11-21 14:07:00,9
2019-11-21 14:08:00,12
2019-11-21 14:09:00,10
2019-11-21 14:10:00,11
2019-11-21 14:11:00,11
2019-11-21 14:12:00,12
2019-11-21 14:13:00,12
2019-11-21 14:14:00,9
2019-11-21 14:15:00,10
2019-11-21 14:16:00,10
2019-11-21 14:17:00,9
2019-11-21 14:18:00,11
2019-11-21 14:19:00,10
2019-11-21 14:20:00,10
2019-11-21 14:21:00,11
2019-11-21 14:22:00,10
2019-11-21 14:23:00,11
2019-11-21 14:24:00,10
2019-11-21 14:25:00,9
2019-11-21 14:26:00,10
2019-11-21 14:27:00,10
2019-11-21 14:28:00,8
2019-11-21 14:29:00,8
2019-11-21 14:30:00,8
2019-11-21 14:31:00,8
2019-11-21 14:32:00,7
2019-11-21 14:33:00,7
2019-11-21 14:34:00,8
2019-11-21 14:35:00,8
