41,"SELECT TOP # s.plate, s.mjd, s.fiberid, s.z, s.zErr, s.zWarning, s.class, p.run, p.rerun, p.camCol, p.field, p.obj, cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.r FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = # AND (p.type = # OR p.type = #)"
2019-01-23 15:20:00,1
2019-02-17 16:33:00,1
2019-03-01 12:59:00,1
2019-03-01 14:58:00,1
2019-03-01 14:59:00,2
2019-03-01 16:06:00,1
2019-03-25 14:13:00,1
2019-03-25 14:14:00,2
2019-04-24 00:58:00,2
2019-05-17 15:52:00,1
2019-06-13 20:07:00,2
2019-06-13 20:09:00,1
2019-06-19 07:33:00,2
2019-07-11 21:58:00,1
2019-07-23 03:23:00,1
2019-07-23 03:24:00,1
2019-08-15 17:04:00,1
2019-08-15 17:06:00,1
2019-08-15 17:07:00,1
2019-08-15 17:10:00,4
2019-08-15 17:12:00,1
2019-09-15 04:00:00,1
2019-09-15 04:01:00,2
2019-10-04 12:49:00,1
2019-10-04 12:52:00,1
2019-11-04 10:41:00,1
2019-12-06 11:15:00,1
2019-12-10 14:04:00,1
2019-12-12 10:28:00,1
2019-12-14 09:52:00,1
2019-12-14 09:55:00,2
