3454,"INSERT INTO [ASSETS] VALUES (#, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, geography::STPointFromText (#, #) )"
2019-11-30 11:49:00,70
2019-11-30 11:50:00,77
2019-11-30 11:51:00,78
2019-11-30 11:52:00,75
2019-11-30 11:53:00,75
2019-11-30 11:54:00,77
2019-11-30 11:55:00,77
2019-11-30 11:56:00,73
2019-11-30 11:57:00,75
2019-11-30 11:58:00,74
2019-11-30 11:59:00,74
2019-11-30 12:00:00,68
2019-11-30 12:01:00,75
2019-11-30 12:02:00,73
2019-11-30 12:03:00,73
2019-11-30 12:04:00,74
2019-11-30 12:05:00,73
2019-11-30 12:06:00,78
2019-11-30 12:07:00,39
2019-11-30 14:06:00,46
2019-11-30 14:07:00,72
2019-11-30 14:08:00,76
2019-11-30 14:09:00,74
2019-11-30 14:10:00,72
2019-11-30 14:11:00,2
2019-11-30 14:43:00,34
2019-11-30 14:44:00,73
2019-11-30 14:45:00,77
2019-11-30 14:46:00,78
2019-11-30 14:47:00,75
2019-11-30 14:48:00,73
2019-11-30 14:49:00,71
2019-11-30 14:50:00,74
2019-11-30 14:51:00,77
2019-11-30 14:52:00,78
2019-11-30 14:53:00,75
2019-11-30 14:54:00,74
2019-11-30 14:55:00,74
2019-11-30 14:56:00,74
2019-11-30 14:57:00,73
2019-11-30 14:58:00,72
2019-11-30 14:59:00,74
2019-11-30 15:00:00,64
2019-11-30 15:01:00,73
2019-11-30 15:02:00,72
2019-11-30 15:03:00,72
2019-11-30 15:04:00,78
2019-11-30 15:05:00,78
2019-11-30 15:06:00,71
