24,"select ra, dec, u, err_u, g, err_g, r, err_r, i, err_i, z, err_z from PhotoObj where (type = #) and (ra between # and #) and (dec between # and #)"
2019-04-01 09:44:00,2
2019-04-01 09:48:00,1
2019-04-01 09:50:00,1
2019-04-01 10:10:00,10
2019-04-01 10:24:00,10
