1010,"SELECT top # objid, ra, dec, psfmag_i-extinction_i AS mag_i, psfmag_r-extinction_r AS mag_r, z FROM SpecPhoto WHERE (class = #)"
2019-01-01 08:56:00,1
2019-01-01 11:12:00,1
2019-01-02 00:21:00,1
2019-01-02 00:51:00,1
2019-01-02 00:53:00,1
2019-01-02 09:19:00,1
2019-01-03 11:07:00,1
2019-01-03 13:34:00,1
2019-01-04 16:37:00,1
2019-01-04 16:47:00,1
2019-01-05 07:22:00,1
2019-01-05 09:23:00,1
2019-01-05 11:34:00,1
2019-01-06 12:48:00,1
2019-01-07 00:14:00,1
2019-01-07 23:35:00,1
2019-01-07 23:51:00,1
2019-01-08 03:01:00,1
2019-01-08 03:33:00,1
2019-01-08 05:23:00,1
2019-01-08 06:29:00,1
2019-01-08 07:17:00,1
2019-01-08 07:29:00,1
2019-01-08 08:43:00,1
2019-01-08 10:33:00,1
2019-01-10 02:12:00,1
2019-01-10 13:18:00,2
2019-01-10 21:56:00,1
2019-01-11 04:47:00,1
2019-01-12 03:27:00,1
2019-01-12 09:22:00,1
2019-01-13 08:34:00,1
2019-01-13 09:14:00,1
2019-01-13 18:28:00,1
2019-01-14 11:11:00,1
2019-01-16 11:17:00,1
2019-01-17 04:25:00,1
2019-01-17 11:49:00,1
2019-01-17 21:55:00,2
2019-01-19 01:49:00,1
2019-01-19 17:01:00,1
2019-01-19 21:10:00,1
2019-01-19 21:38:00,1
2019-01-20 18:20:00,1
2019-01-22 08:12:00,1
2019-01-22 08:32:00,1
2019-01-22 13:07:00,1
2019-01-22 20:43:00,1
2019-01-23 22:37:00,1
2019-01-23 23:31:00,1
2019-01-24 05:59:00,1
2019-01-24 12:36:00,1
2019-01-25 11:11:00,1
2019-01-25 12:46:00,1
2019-01-25 16:02:00,1
2019-01-26 10:31:00,1
2019-01-26 19:54:00,1
2019-01-27 09:40:00,1
2019-01-27 21:34:00,1
2019-01-28 13:02:00,1
2019-01-28 13:52:00,1
2019-01-29 00:40:00,1
2019-01-29 18:52:00,1
2019-01-29 23:43:00,1
2019-01-30 09:34:00,1
2019-01-30 15:40:00,2
2019-01-30 21:03:00,1
2019-01-31 08:32:00,1
2019-02-01 07:23:00,1
2019-02-01 21:11:00,1
2019-02-02 07:37:00,1
2019-02-02 14:31:00,1
2019-02-03 13:16:00,1
2019-02-04 13:42:00,1
2019-02-04 14:15:00,1
2019-02-04 14:46:00,1
2019-02-06 11:27:00,1
2019-02-07 18:57:00,1
2019-02-08 01:34:00,1
2019-02-08 04:19:00,1
2019-02-08 09:16:00,1
2019-02-08 16:50:00,1
2019-02-08 18:16:00,1
2019-02-08 22:22:00,1
2019-02-09 15:21:00,1
2019-02-09 17:38:00,1
2019-02-10 05:57:00,1
2019-02-10 09:47:00,1
2019-02-10 18:27:00,1
2019-02-11 04:46:00,1
2019-02-11 11:22:00,1
2019-02-11 21:31:00,1
2019-02-11 22:29:00,1
2019-02-12 03:11:00,1
2019-02-12 07:07:00,1
2019-02-12 07:08:00,1
2019-02-12 07:12:00,1
2019-02-12 15:10:00,1
2019-02-12 18:43:00,1
2019-02-12 19:00:00,1
2019-02-13 12:18:00,1
2019-02-14 12:11:00,1
2019-02-14 12:19:00,1
2019-02-14 12:35:00,1
2019-02-14 18:54:00,1
2019-02-15 22:33:00,1
2019-02-16 04:50:00,1
2019-02-16 11:39:00,1
2019-02-16 14:54:00,1
2019-02-17 09:36:00,1
2019-02-17 17:09:00,1
2019-02-18 00:32:00,1
2019-02-18 03:11:00,1
2019-02-18 18:28:00,1
2019-02-18 23:17:00,1
2019-02-19 01:16:00,1
2019-02-19 01:22:00,1
2019-02-19 08:43:00,1
2019-02-19 08:45:00,1
2019-02-21 12:59:00,1
2019-02-22 05:56:00,1
2019-02-24 14:06:00,1
2019-02-24 14:35:00,1
2019-02-25 18:01:00,1
2019-02-26 01:20:00,1
2019-02-27 19:58:00,1
2019-02-27 22:12:00,1
2019-02-27 22:38:00,1
2019-02-28 01:44:00,1
2019-02-28 03:38:00,1
2019-02-28 07:56:00,1
2019-02-28 12:22:00,1
2019-03-01 01:06:00,1
2019-03-01 01:29:00,1
2019-03-01 02:01:00,1
2019-03-01 03:23:00,1
2019-03-01 10:06:00,1
2019-03-01 13:06:00,1
2019-03-01 18:22:00,1
2019-03-01 21:13:00,1
2019-03-01 22:38:00,1
2019-03-02 01:00:00,1
2019-03-02 02:15:00,1
2019-03-02 05:08:00,1
2019-03-02 22:44:00,1
2019-03-03 02:18:00,1
2019-03-03 03:26:00,1
2019-03-03 09:31:00,1
2019-03-03 10:34:00,1
2019-03-04 07:59:00,1
2019-03-04 09:03:00,1
2019-03-04 11:08:00,1
2019-03-04 22:47:00,1
2019-03-05 07:38:00,1
2019-03-05 09:01:00,1
2019-03-05 09:49:00,1
2019-03-06 12:47:00,1
2019-03-06 12:49:00,1
2019-03-06 13:50:00,1
2019-03-06 14:33:00,1
2019-03-06 20:54:00,1
2019-03-07 10:59:00,1
2019-03-08 02:29:00,1
2019-03-08 06:46:00,1
2019-03-08 11:03:00,1
2019-03-08 11:09:00,1
2019-03-08 12:35:00,1
2019-03-08 14:26:00,1
2019-03-08 19:10:00,1
2019-03-08 20:35:00,1
2019-03-08 22:29:00,1
2019-03-09 01:59:00,1
2019-03-10 01:46:00,1
2019-03-10 18:14:00,1
2019-03-10 20:00:00,1
2019-03-11 02:13:00,1
