4,"SELECT s.plate, s.mjd, s.fiberid, s.z, p.rest_ug, p.rest_gr FROM Photoz AS p JOIN SpecPhotoAll AS s ON s.objID = p.objID WHERE s.dered_r BETWEEN # AND # AND s.z BETWEEN # AND #"
2019-01-17 05:24:00,2
2019-01-17 05:56:00,1
2019-01-17 06:27:00,1
