1955,"SELECT GN.distance, p.objid, pz.z as redshift, pz.zErr as redshift_error FROM PhotoObj as p JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON GN.objID = p.objID JOIN Photoz AS pz ON pz.objID = p.objID ORDER BY distance"
2019-10-15 02:07:00,4
2019-10-15 02:08:00,1
2019-10-15 02:09:00,8
2019-10-15 02:10:00,8
2019-10-15 02:11:00,4
2019-10-15 02:12:00,8
2019-10-15 02:13:00,4
2019-10-15 02:14:00,6
2019-10-15 02:15:00,5
2019-10-15 02:16:00,4
2019-10-15 02:17:00,10
2019-10-15 02:18:00,6
2019-10-15 02:19:00,6
2019-10-15 02:20:00,5
2019-10-15 02:21:00,6
2019-10-15 02:22:00,2
2019-10-15 02:24:00,1
2019-10-15 02:25:00,8
2019-10-15 02:26:00,4
2019-10-15 02:27:00,2
2019-10-15 03:23:00,3
2019-10-15 08:07:00,2
2019-10-15 08:08:00,3
2019-10-15 08:09:00,3
2019-10-15 08:10:00,5
2019-10-15 08:11:00,5
2019-10-15 08:12:00,4
2019-10-15 08:13:00,6
2019-10-15 08:14:00,3
2019-10-15 08:15:00,4
2019-10-15 08:16:00,4
2019-10-15 08:17:00,6
2019-10-15 08:18:00,4
2019-10-15 08:19:00,4
2019-10-15 08:20:00,5
2019-10-15 08:21:00,5
2019-10-15 08:22:00,2
2019-10-15 08:23:00,1
2019-10-15 08:24:00,2
2019-10-15 08:25:00,5
2019-10-15 08:26:00,4
2019-10-15 08:27:00,4
2019-10-15 08:28:00,4
2019-10-15 08:29:00,2
2019-10-15 08:31:00,3
2019-10-15 08:32:00,2
2019-10-15 08:33:00,4
2019-10-15 08:34:00,4
2019-10-15 08:35:00,2
2019-10-15 08:36:00,4
2019-10-15 08:37:00,3
2019-10-15 08:38:00,6
2019-10-15 08:39:00,3
2019-10-15 08:40:00,1
2019-10-15 08:41:00,3
2019-10-15 08:42:00,1
2019-10-15 08:45:00,4
2019-10-15 08:46:00,3
2019-10-15 08:47:00,3
2019-10-15 08:48:00,1
2019-10-15 08:52:00,3
2019-10-15 08:53:00,8
2019-10-15 08:54:00,6
2019-10-15 08:55:00,3
2019-10-15 08:56:00,6
2019-10-15 08:57:00,3
2019-10-15 08:58:00,5
2019-10-15 08:59:00,1
2019-10-15 09:00:00,1
2019-10-15 09:01:00,6
2019-10-15 09:02:00,5
2019-10-15 09:03:00,5
2019-10-15 09:04:00,5
2019-10-15 09:05:00,7
2019-10-15 09:06:00,2
2019-10-15 09:07:00,5
2019-10-15 09:08:00,4
2019-10-15 09:09:00,3
2019-10-15 09:10:00,2
2019-10-15 09:11:00,4
2019-10-15 09:12:00,5
2019-10-15 09:13:00,6
2019-10-15 09:14:00,5
2019-10-15 09:15:00,7
2019-10-15 09:16:00,8
2019-10-15 09:17:00,8
2019-10-15 09:18:00,3
2019-10-15 09:19:00,8
2019-10-15 09:20:00,4
2019-10-15 09:21:00,5
2019-10-15 09:22:00,4
2019-10-15 09:23:00,4
2019-10-15 09:24:00,7
2019-10-15 09:25:00,4
2019-10-15 09:26:00,4
2019-10-15 09:27:00,2
2019-10-15 09:28:00,1
2019-10-15 09:30:00,3
2019-10-15 09:31:00,4
2019-10-15 09:32:00,4
2019-10-15 09:33:00,6
2019-10-15 09:34:00,6
2019-10-15 09:35:00,3
2019-10-15 09:36:00,7
2019-10-15 09:37:00,6
2019-10-15 09:38:00,4
2019-10-15 09:39:00,5
2019-10-15 09:40:00,3
2019-10-15 09:41:00,1
2019-10-15 09:42:00,2
2019-10-15 09:43:00,7
2019-10-15 09:44:00,6
2019-10-15 09:45:00,4
2019-10-15 09:46:00,4
2019-10-15 09:47:00,2
2019-10-15 09:48:00,9
2019-10-15 09:49:00,5
2019-10-15 09:50:00,4
2019-10-15 09:51:00,3
2019-10-15 09:52:00,5
2019-10-15 09:53:00,5
2019-10-15 09:54:00,3
2019-10-15 09:55:00,3
2019-10-15 09:56:00,2
2019-10-15 09:57:00,2
2019-10-15 09:58:00,2
2019-10-15 16:42:00,1
2019-10-15 16:43:00,8
2019-10-15 16:44:00,3
2019-10-15 16:45:00,7
2019-10-15 16:46:00,6
2019-10-15 16:47:00,5
2019-10-15 16:48:00,5
2019-10-15 16:49:00,1
2019-10-15 16:51:00,5
2019-10-15 16:52:00,1
2019-10-15 16:53:00,1
2019-10-15 16:54:00,2
2019-10-15 16:55:00,6
2019-10-15 16:56:00,5
2019-10-15 16:57:00,5
2019-10-15 16:58:00,3
2019-10-15 16:59:00,7
2019-10-15 17:00:00,3
2019-10-15 17:01:00,7
2019-10-15 17:02:00,3
2019-10-15 17:03:00,1
2019-10-15 17:06:00,1
2019-10-15 17:07:00,3
2019-10-15 17:08:00,1
2019-10-15 17:09:00,5
2019-10-15 17:10:00,3
2019-10-15 17:11:00,7
2019-10-15 17:12:00,4
2019-10-15 17:13:00,6
2019-10-15 17:14:00,4
2019-10-15 17:15:00,2
2019-10-15 17:16:00,3
2019-10-15 17:17:00,4
2019-10-15 17:18:00,1
2019-10-15 17:19:00,5
2019-10-15 17:20:00,3
2019-10-15 17:21:00,3
2019-10-15 17:22:00,1
2019-10-15 17:23:00,4
2019-10-15 17:24:00,4
2019-10-15 17:25:00,5
2019-10-15 17:26:00,5
2019-10-15 17:27:00,4
2019-10-15 17:28:00,6
2019-10-15 17:29:00,6
2019-10-15 17:30:00,5
2019-10-15 17:31:00,6
2019-10-15 17:32:00,5
2019-10-15 17:33:00,2
2019-10-15 17:34:00,5
2019-10-15 17:35:00,3
2019-10-15 17:36:00,1
2019-10-15 17:39:00,3
2019-10-15 17:40:00,4
2019-10-15 17:41:00,3
2019-10-15 17:43:00,6
2019-10-15 17:44:00,2
2019-10-15 17:45:00,6
2019-10-15 17:46:00,9
2019-10-15 17:47:00,4
2019-10-15 17:48:00,4
2019-10-15 17:49:00,5
2019-10-15 17:50:00,2
2019-10-15 17:51:00,6
2019-10-15 17:52:00,4
2019-10-15 17:53:00,5
2019-10-15 17:54:00,4
2019-10-15 17:55:00,6
2019-10-15 17:56:00,6
2019-10-15 17:57:00,6
2019-10-15 17:58:00,6
2019-10-15 17:59:00,3
2019-10-15 18:00:00,1
2019-10-15 18:01:00,7
2019-10-15 18:02:00,3
2019-10-15 18:03:00,4
2019-10-15 18:04:00,6
2019-10-15 18:05:00,2
2019-10-15 18:06:00,3
2019-10-15 18:07:00,4
2019-10-15 18:08:00,5
2019-10-15 18:09:00,1
2019-10-15 18:10:00,5
2019-10-15 18:11:00,5
2019-10-15 18:12:00,4
2019-10-15 18:13:00,3
2019-10-15 18:14:00,7
2019-10-15 18:15:00,3
2019-10-15 18:16:00,3
2019-10-15 18:17:00,4
2019-10-15 18:18:00,5
2019-10-15 18:19:00,5
2019-10-15 18:20:00,5
2019-10-15 18:21:00,7
2019-10-15 18:22:00,4
2019-10-15 18:23:00,3
2019-10-15 18:24:00,4
2019-10-15 18:25:00,4
2019-10-15 18:26:00,2
2019-10-15 18:28:00,2
2019-10-15 18:29:00,4
2019-10-15 18:30:00,4
2019-10-15 18:31:00,7
2019-10-15 18:32:00,5
2019-10-15 18:33:00,1
2019-10-15 18:36:00,5
2019-10-15 18:37:00,5
2019-10-15 18:38:00,1
2019-10-15 18:39:00,1
2019-10-15 18:41:00,4
2019-10-15 18:42:00,2
2019-10-15 18:43:00,1
2019-10-15 18:44:00,3
2019-10-15 18:45:00,4
2019-10-15 18:47:00,5
2019-10-15 18:48:00,5
2019-10-15 18:49:00,4
2019-10-15 18:50:00,4
2019-10-15 18:51:00,2
2019-10-15 18:52:00,1
2019-10-15 18:53:00,3
2019-10-15 18:54:00,5
2019-10-15 18:55:00,4
2019-10-15 18:56:00,2
2019-10-15 18:57:00,6
2019-10-15 18:58:00,5
2019-10-15 18:59:00,4
2019-10-15 19:00:00,4
2019-10-15 19:01:00,4
2019-10-15 19:02:00,5
2019-10-15 19:03:00,4
2019-10-15 19:05:00,5
2019-10-15 19:06:00,3
2019-10-15 19:07:00,4
2019-10-15 19:08:00,4
2019-10-15 19:09:00,4
2019-10-15 19:10:00,3
2019-10-15 19:11:00,1
2019-10-15 19:12:00,1
2019-10-15 19:13:00,5
2019-10-15 19:14:00,7
2019-10-15 19:15:00,1
2019-10-15 19:16:00,3
2019-10-15 19:17:00,7
2019-10-15 19:18:00,6
2019-10-15 19:19:00,5
2019-10-15 19:20:00,2
2019-10-15 19:21:00,6
2019-10-15 19:22:00,2
2019-10-15 19:23:00,2
2019-10-15 19:26:00,4
2019-10-15 19:27:00,6
2019-10-15 19:28:00,6
2019-10-15 19:29:00,5
2019-10-15 19:30:00,4
2019-10-15 19:31:00,3
2019-10-15 19:32:00,4
2019-10-15 19:33:00,5
2019-10-15 19:34:00,5
2019-10-15 19:35:00,5
2019-10-15 19:36:00,4
2019-10-15 19:37:00,4
2019-10-15 19:38:00,5
2019-10-15 19:39:00,5
2019-10-15 19:40:00,9
2019-10-15 19:41:00,6
2019-10-15 19:42:00,6
2019-10-15 19:43:00,4
2019-10-15 19:44:00,5
2019-10-15 19:45:00,6
2019-10-15 19:46:00,7
2019-10-15 19:47:00,2
2019-10-15 19:48:00,7
2019-10-15 19:49:00,7
2019-10-15 19:50:00,4
2019-10-15 19:51:00,6
2019-10-15 19:52:00,4
2019-10-15 19:53:00,2
2019-10-15 19:55:00,4
2019-10-15 19:56:00,6
2019-10-15 19:57:00,3
2019-10-15 19:58:00,5
2019-10-15 19:59:00,8
2019-10-15 20:00:00,8
2019-10-15 20:01:00,6
2019-10-15 20:02:00,5
2019-10-15 20:03:00,5
2019-10-15 20:04:00,4
2019-10-15 20:05:00,3
2019-10-15 20:06:00,5
2019-10-15 20:07:00,4
2019-10-15 20:08:00,5
2019-10-15 20:09:00,3
2019-10-15 20:10:00,6
2019-10-15 20:11:00,4
2019-10-15 20:12:00,6
2019-10-15 20:13:00,3
2019-10-15 20:14:00,9
2019-10-15 20:15:00,1
2019-10-15 20:16:00,3
2019-10-15 20:17:00,4
2019-10-15 20:18:00,4
2019-10-15 20:19:00,7
2019-10-15 20:20:00,8
2019-10-15 20:21:00,3
2019-10-15 20:22:00,4
2019-10-15 20:23:00,6
2019-10-15 20:24:00,6
2019-10-15 20:25:00,5
2019-10-15 20:26:00,4
2019-10-15 20:27:00,6
2019-10-15 20:28:00,8
2019-10-15 20:29:00,7
2019-10-15 20:30:00,4
2019-10-15 20:31:00,7
2019-10-15 20:32:00,6
2019-10-15 20:33:00,4
2019-10-15 20:34:00,3
2019-10-15 20:35:00,3
2019-10-15 20:36:00,3
2019-10-15 20:37:00,4
2019-10-15 20:38:00,4
2019-10-15 20:39:00,5
2019-10-15 20:40:00,4
2019-10-15 20:41:00,5
2019-10-15 20:42:00,8
2019-10-15 20:43:00,6
2019-10-15 20:44:00,4
2019-10-15 20:45:00,1
2019-10-15 20:47:00,1
2019-10-15 20:48:00,5
2019-10-15 20:49:00,5
2019-10-15 20:50:00,6
2019-10-15 20:51:00,6
2019-10-15 20:52:00,4
2019-10-15 20:53:00,4
2019-10-15 20:54:00,5
2019-10-15 20:55:00,3
2019-10-15 20:56:00,6
2019-10-15 20:57:00,6
2019-10-15 20:58:00,8
2019-10-15 20:59:00,3
2019-10-15 21:00:00,3
2019-10-18 02:43:00,1
2019-10-19 18:39:00,1
2019-10-21 00:27:00,1
2019-11-02 21:48:00,1
2019-11-04 16:45:00,1
2019-11-06 23:34:00,1
2019-11-14 20:21:00,1
2019-11-14 20:25:00,1
2019-11-14 23:15:00,1
