2,"SELECT s.plate, s.fiberid, s.mjd, s.z, s.zwarning, e.Sigma_Hb_#, e.Sigma_Ha_# into mydb.Table_dr1#_# from PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN emissionLinesPort AS e ON e.specObjID = s.bestobjid JOIN Field AS f ON f.fieldid = p.fieldid WHERE s.z BETWEEN # AND # AND p.type = # AND s.zwarning = # AND e.Sigma_Hb_# BETWEEN # AND # AND e.Sigma_Ha_# BETWEEN # AND #"
2019-10-23 17:42:00,1
2019-10-23 17:45:00,1
