2,"SELECT p.u, p.g, p.r, p.i, p.z, s.class, s.subclass, s.z as redshift, s.zerr as redshift_error, s.zwarning as redshift_warning FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.zwarning = # AND (s.class = # OR s.class = # OR s.class = #)"
2019-11-03 05:09:00,1
2019-11-05 07:14:00,1
