36,"SELECT TOP # specObjID, bestObjID, z FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # AND # AND (survey = # or survey = #) AND bestObjID < > # ORDER BY newid ()"
2019-03-22 23:00:00,1
2019-03-22 23:01:00,1
2019-03-22 23:06:00,1
2019-03-23 20:07:00,1
2019-03-23 20:08:00,3
2019-03-23 20:22:00,2
2019-03-23 21:22:00,1
2019-03-23 21:31:00,2
2019-03-24 09:53:00,1
2019-03-24 16:16:00,2
2019-03-24 16:18:00,1
2019-03-24 16:58:00,1
2019-03-25 14:38:00,1
2019-03-27 18:47:00,1
2019-03-27 18:48:00,1
2019-03-28 13:10:00,1
2019-03-31 16:41:00,1
2019-03-31 21:28:00,1
2019-04-01 18:01:00,1
2019-04-04 11:16:00,1
2019-04-04 11:19:00,1
2019-04-04 11:21:00,1
2019-04-04 11:22:00,1
2019-04-04 11:24:00,1
2019-04-04 11:26:00,1
2019-04-05 15:27:00,1
2019-04-12 14:00:00,1
2019-04-28 19:53:00,1
2019-04-28 19:54:00,2
2019-05-03 17:09:00,1
