2,"SELECT objid, ra, dec, modelmag_r, modelmag_r-#*log1# (#E+#*z) +# as abs_mag_r, z FROM SpecPhoto WHERE modelmag_r-#*log1# (#E+#*z) +# < #AND z> #"
2019-08-06 22:05:00,1
2019-08-06 22:16:00,1
