27,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z BETWEEN # AND #"
2019-03-05 22:24:00,1
2019-03-07 21:25:00,2
2019-03-10 23:43:00,1
2019-03-25 18:59:00,3
2019-03-25 19:00:00,1
2019-03-27 18:59:00,1
2019-04-10 22:41:00,1
2019-04-10 22:42:00,1
2019-04-23 12:24:00,1
2019-06-10 10:20:00,1
2019-06-30 21:25:00,1
2019-06-30 21:34:00,1
2019-07-01 15:39:00,1
2019-07-19 19:10:00,1
2019-09-19 06:20:00,1
2019-09-19 06:26:00,1
2019-09-19 06:27:00,2
2019-09-19 06:28:00,1
2019-10-04 15:06:00,1
2019-10-04 15:12:00,1
2019-10-04 15:13:00,1
2019-12-01 23:04:00,1
2019-12-02 00:14:00,1
