99,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, s.plate, s.fiberID, s.specObjID, s.z, s.zErr, s.zWarning FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-09-16 17:01:00,31
2019-09-16 17:02:00,53
2019-09-18 15:19:00,1
2019-09-18 15:20:00,5
2019-09-19 15:50:00,2
2019-09-25 10:48:00,1
2019-09-25 11:18:00,2
2019-10-23 17:00:00,1
2019-10-24 11:17:00,1
2019-10-24 11:42:00,1
2019-10-24 11:43:00,1
