1340,select * from zooMonochromeBias where objid = #
2019-01-01 02:32:00,1
2019-01-01 10:21:00,1
2019-01-01 12:52:00,1
2019-01-01 18:10:00,1
2019-01-01 21:02:00,1
2019-01-01 22:22:00,1
2019-01-01 22:41:00,1
2019-01-01 23:27:00,1
2019-01-02 01:34:00,1
2019-01-02 02:29:00,1
2019-01-02 02:49:00,1
2019-01-02 03:09:00,1
2019-01-02 04:32:00,1
2019-01-02 04:55:00,1
2019-01-02 06:57:00,2
2019-01-02 07:47:00,1
2019-01-02 08:58:00,1
2019-01-02 10:13:00,1
2019-01-02 15:29:00,1
2019-01-02 15:32:00,1
2019-01-02 15:59:00,2
2019-01-02 16:44:00,1
2019-01-02 18:42:00,1
2019-01-02 20:45:00,2
2019-01-02 20:51:00,1
2019-01-02 21:00:00,1
2019-01-02 22:38:00,1
2019-01-02 23:19:00,1
2019-01-03 00:01:00,1
2019-01-03 01:12:00,1
2019-01-03 01:44:00,1
2019-01-03 01:54:00,1
2019-01-03 05:14:00,1
2019-01-03 05:27:00,1
2019-01-03 05:38:00,1
2019-01-03 06:36:00,1
2019-01-03 07:52:00,1
2019-01-03 08:03:00,1
2019-01-03 12:40:00,1
2019-01-03 13:19:00,1
2019-01-03 13:43:00,1
2019-01-03 14:51:00,1
2019-01-03 16:39:00,1
2019-01-03 17:02:00,1
2019-01-03 17:34:00,1
2019-01-03 18:42:00,1
2019-01-03 22:54:00,1
2019-01-04 00:42:00,1
2019-01-04 00:47:00,1
2019-01-04 02:34:00,1
2019-01-04 03:49:00,1
2019-01-04 04:20:00,1
2019-01-04 04:25:00,1
2019-01-04 07:34:00,2
2019-01-04 08:13:00,1
2019-01-04 08:56:00,1
2019-01-04 10:06:00,1
2019-01-04 10:46:00,1
2019-01-04 10:53:00,1
2019-01-04 12:50:00,1
2019-01-04 13:13:00,1
2019-01-04 13:50:00,1
2019-01-04 15:10:00,1
2019-01-04 17:04:00,1
2019-01-04 17:46:00,1
2019-01-04 18:42:00,1
2019-01-04 22:34:00,1
2019-01-05 11:53:00,1
2019-01-06 00:03:00,1
2019-01-06 00:24:00,1
2019-01-06 01:37:00,1
2019-01-06 18:26:00,1
2019-01-06 18:46:00,1
2019-01-06 22:17:00,1
2019-01-07 01:44:00,1
2019-01-07 06:56:00,1
2019-01-07 16:37:00,1
2019-01-08 04:17:00,1
2019-01-08 18:14:00,1
2019-01-08 19:04:00,1
2019-01-09 06:12:00,1
2019-01-09 11:30:00,1
2019-01-09 13:56:00,1
2019-01-09 14:01:00,1
2019-01-09 14:06:00,1
2019-01-09 23:14:00,1
2019-01-10 06:31:00,1
2019-01-11 05:23:00,1
2019-01-11 22:44:00,1
2019-01-19 06:06:00,1
2019-01-19 09:14:00,1
2019-01-21 03:57:00,1
2019-01-21 04:46:00,1
2019-01-21 23:32:00,1
2019-01-22 09:14:00,1
2019-01-22 17:32:00,1
2019-01-22 23:32:00,1
2019-01-22 23:40:00,1
2019-01-23 07:19:00,1
2019-01-23 08:10:00,1
2019-01-24 00:20:00,1
2019-01-24 10:26:00,1
2019-01-24 21:46:00,1
2019-01-25 02:52:00,1
2019-01-25 12:52:00,1
2019-01-25 21:07:00,1
2019-01-25 22:46:00,1
2019-01-26 03:40:00,1
2019-01-26 09:57:00,1
2019-01-26 10:35:00,1
2019-01-26 21:50:00,1
2019-01-27 00:53:00,1
2019-01-27 15:16:00,1
2019-01-27 16:24:00,1
2019-01-27 21:24:00,1
2019-01-27 22:50:00,1
2019-01-28 04:40:00,1
2019-01-28 10:14:00,1
2019-01-28 14:45:00,1
2019-01-28 16:30:00,1
2019-01-28 20:28:00,1
2019-01-29 01:16:00,1
2019-01-29 03:31:00,1
2019-01-29 04:12:00,1
2019-01-29 07:20:00,1
2019-01-29 11:44:00,1
2019-01-29 12:05:00,1
2019-01-29 14:44:00,2
2019-01-29 16:32:00,5
2019-01-29 17:28:00,1
2019-01-29 17:31:00,1
2019-01-30 00:21:00,1
2019-01-30 04:01:00,1
2019-01-30 04:02:00,3
2019-01-30 04:08:00,1
2019-01-30 06:05:00,6
2019-01-30 09:15:00,1
2019-01-30 11:16:00,1
2019-01-30 16:46:00,1
2019-01-30 16:55:00,1
2019-01-30 19:40:00,1
2019-01-30 19:44:00,1
2019-01-30 21:01:00,1
2019-01-31 01:38:00,1
2019-01-31 02:10:00,1
2019-01-31 06:14:00,1
2019-01-31 06:17:00,1
2019-01-31 06:26:00,1
2019-01-31 06:28:00,1
2019-01-31 07:44:00,1
2019-01-31 13:34:00,1
2019-01-31 15:03:00,1
2019-01-31 16:21:00,1
2019-01-31 23:12:00,1
2019-02-01 02:05:00,1
2019-02-01 09:32:00,1
2019-02-01 10:36:00,1
2019-02-01 18:15:00,1
2019-02-03 00:06:00,1
2019-02-03 17:03:00,10
2019-02-03 17:04:00,15
2019-02-03 17:05:00,15
2019-02-03 17:06:00,12
2019-02-03 17:07:00,11
2019-02-03 17:08:00,12
2019-02-03 17:09:00,4
2019-02-03 18:43:00,23
2019-02-03 18:58:00,5
2019-02-03 19:54:00,1
2019-02-03 22:28:00,2
2019-02-04 11:25:00,1
2019-02-04 11:32:00,2
2019-02-05 15:26:00,1
2019-02-10 16:15:00,1
2019-02-11 21:56:00,1
2019-02-14 05:32:00,2
2019-02-14 07:42:00,1
2019-02-19 03:35:00,1
2019-02-20 20:22:00,13
2019-02-21 18:29:00,4
2019-02-24 21:16:00,2
2019-02-27 16:50:00,1
2019-03-03 18:30:00,1
2019-03-12 04:25:00,4
2019-03-12 04:26:00,2
2019-03-13 23:25:00,3
2019-03-29 23:30:00,1
2019-04-04 18:21:00,1
2019-04-09 15:30:00,1
2019-04-18 10:08:00,1
2019-04-19 17:24:00,2
2019-04-20 01:44:00,4
2019-04-20 12:28:00,7
2019-04-21 01:10:00,1
2019-04-21 15:18:00,1
2019-04-24 06:56:00,31
2019-04-24 06:57:00,38
2019-04-24 06:58:00,37
2019-04-24 06:59:00,2
2019-04-24 12:52:00,1
2019-04-25 01:11:00,1
2019-04-25 04:00:00,1
2019-04-26 09:54:00,1
2019-04-28 21:41:00,1
2019-05-03 15:10:00,1
2019-05-05 04:41:00,2
2019-05-05 04:43:00,2
2019-05-10 00:59:00,1
2019-05-10 06:23:00,1
2019-05-11 05:00:00,1
2019-05-14 21:36:00,4
2019-05-14 21:37:00,12
2019-05-15 20:20:00,1
2019-05-15 22:54:00,2
2019-05-15 23:23:00,1
2019-05-22 20:23:00,1
2019-05-25 12:29:00,1
2019-05-29 20:03:00,1
2019-05-31 02:15:00,3
2019-05-31 03:24:00,3
2019-05-31 20:42:00,1
2019-06-03 17:33:00,3
2019-06-03 22:20:00,1
2019-06-05 16:35:00,1
2019-06-05 19:00:00,1
2019-06-05 22:19:00,1
2019-06-05 23:50:00,1
2019-06-06 15:40:00,1
2019-06-06 18:32:00,1
2019-06-07 03:07:00,1
2019-06-07 10:15:00,1
2019-06-07 11:30:00,1
2019-06-07 12:27:00,1
2019-06-07 14:26:00,1
2019-06-07 23:10:00,1
2019-06-08 16:19:00,1
2019-06-08 19:10:00,1
2019-06-09 01:04:00,1
2019-06-09 03:10:00,1
2019-06-09 03:27:00,1
2019-06-09 12:34:00,1
2019-06-09 13:30:00,1
2019-06-09 15:29:00,1
2019-06-09 20:41:00,1
2019-06-09 23:09:00,1
2019-06-10 00:11:00,1
2019-06-10 04:15:00,1
2019-06-10 16:37:00,1
2019-06-10 19:29:00,1
2019-06-11 01:23:00,1
2019-06-11 03:29:00,1
2019-06-11 03:45:00,1
2019-06-11 13:23:00,1
2019-06-11 14:07:00,1
