355,select fieldid from field where cccol_u between # and .# and skyframes_r between # and #
2019-01-24 23:59:00,1
2019-01-25 00:00:00,4
2019-01-25 00:01:00,5
2019-01-25 00:16:00,18
2019-01-25 00:21:00,9
2019-01-25 04:09:00,50
2019-01-25 04:10:00,33
2019-01-25 04:13:00,18
2019-01-25 09:14:00,4
2019-01-25 12:08:00,3
2019-01-25 13:21:00,4
2019-01-25 13:58:00,1
2019-01-25 15:43:00,14
2019-01-28 16:25:00,14
2019-01-28 17:31:00,37
2019-01-28 17:32:00,57
2019-01-28 17:33:00,55
2019-01-28 18:39:00,2
2019-01-28 19:11:00,1
2019-01-28 19:15:00,4
2019-01-28 19:16:00,6
2019-01-28 20:40:00,10
2019-02-26 10:47:00,3
2019-02-26 11:04:00,1
2019-02-26 11:05:00,1
