12,"SELECT ra, dec, petroMag_g, petroMagErr_g, petroMag_r, petroMagErr_r FROM star WHERE (ra between # and #) and (dec between # and #) and (petroMag_g < #) and (petroMag_g> #)"
2019-03-27 01:19:00,1
2019-03-27 01:22:00,1
2019-03-27 01:24:00,1
2019-03-27 01:26:00,2
2019-03-27 01:32:00,1
2019-03-27 01:47:00,1
2019-03-27 01:48:00,1
2019-03-27 01:51:00,1
2019-03-27 01:54:00,1
2019-03-27 01:55:00,1
2019-03-27 01:57:00,1
