60,"select p.objid, p.ra, p.dec, s.z as redshift, s.specobjid from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and s.z BETWEEN # AND #"
2019-02-05 14:24:00,1
2019-10-14 14:10:00,1
2019-10-14 14:17:00,1
2019-10-14 14:26:00,1
2019-10-14 14:28:00,1
2019-10-14 14:29:00,1
2019-10-14 14:34:00,1
2019-12-16 17:17:00,2
2019-12-16 17:19:00,1
2019-12-16 18:08:00,1
2019-12-16 18:31:00,1
2019-12-16 18:43:00,1
2019-12-16 18:46:00,1
2019-12-16 18:49:00,1
2019-12-16 18:51:00,2
2019-12-16 18:52:00,1
2019-12-16 19:02:00,2
2019-12-16 19:08:00,1
2019-12-16 19:20:00,1
2019-12-17 16:40:00,1
2019-12-17 16:41:00,1
2019-12-17 16:43:00,1
2019-12-17 16:45:00,1
2019-12-17 16:46:00,2
2019-12-17 17:38:00,1
2019-12-18 17:50:00,2
2019-12-18 17:51:00,1
2019-12-18 17:55:00,1
2019-12-18 18:09:00,1
2019-12-18 18:28:00,2
2019-12-18 18:30:00,1
2019-12-18 18:31:00,1
2019-12-18 18:59:00,1
2019-12-18 19:00:00,1
2019-12-18 19:39:00,1
2019-12-19 11:12:00,1
2019-12-19 11:13:00,2
2019-12-19 11:22:00,1
2019-12-19 11:32:00,1
2019-12-19 11:36:00,1
2019-12-19 11:42:00,1
2019-12-19 16:33:00,1
2019-12-19 16:42:00,1
2019-12-19 16:43:00,1
2019-12-19 16:50:00,1
2019-12-19 16:56:00,1
2019-12-19 16:58:00,2
2019-12-20 14:37:00,1
2019-12-20 14:38:00,1
2019-12-20 14:47:00,1
2019-12-21 10:03:00,1
2019-12-23 11:51:00,1
