2,"SELECT ObjID, r, g, i, u, u-r as redness into mydb.Red_E_Galaxies FROM mydb.E_Galaxies as e ORDER BY redness ASC"
2019-08-14 08:48:00,1
2019-08-14 08:49:00,1
