366,"SELECT TOP # RA, DEC, VAR_A, VAR_GAMMA, VAR_CHI2 FROM qsoVarPTF WHERE qsoVarPTF.VAR_CHI2> # AND qsoVarPTF.VAR_A> #"
2019-01-02 05:46:00,1
2019-01-03 11:20:00,1
2019-01-03 18:34:00,1
2019-01-05 07:27:00,1
2019-01-05 23:00:00,1
2019-01-06 05:10:00,1
2019-01-08 02:24:00,1
2019-01-08 02:54:00,1
2019-01-08 04:35:00,1
2019-01-08 18:14:00,1
2019-01-10 02:45:00,1
2019-01-10 13:18:00,2
2019-01-13 04:34:00,1
2019-01-14 11:52:00,1
2019-01-16 02:03:00,1
2019-01-16 11:16:00,1
2019-01-17 21:55:00,2
2019-01-17 23:30:00,1
2019-01-19 17:01:00,1
2019-01-22 16:12:00,1
2019-01-22 20:48:00,1
2019-01-25 21:46:00,1
2019-01-26 23:18:00,1
2019-01-27 21:20:00,1
2019-01-28 16:51:00,1
2019-01-29 19:04:00,1
2019-01-30 13:35:00,1
2019-01-30 19:27:00,2
2019-01-31 02:07:00,1
2019-02-01 13:14:00,1
2019-02-02 00:21:00,1
2019-02-02 13:57:00,1
2019-02-06 23:22:00,1
2019-02-09 15:22:00,1
2019-02-10 18:28:00,1
2019-02-12 18:12:00,1
2019-02-13 16:33:00,1
2019-02-14 12:36:00,1
2019-02-14 15:30:00,1
2019-02-15 19:40:00,1
2019-02-17 09:00:00,1
2019-02-20 01:04:00,1
2019-02-21 01:51:00,1
2019-02-21 15:59:00,1
2019-02-21 18:54:00,1
2019-02-22 11:50:00,1
2019-02-23 02:42:00,1
2019-02-23 08:39:00,1
2019-02-23 10:46:00,1
2019-02-25 12:43:00,1
2019-02-26 01:11:00,1
2019-02-28 07:47:00,1
2019-03-01 10:27:00,1
2019-03-01 22:21:00,1
2019-03-02 10:35:00,1
2019-03-02 22:21:00,1
2019-03-02 23:50:00,1
2019-03-03 01:33:00,1
2019-03-03 05:45:00,1
2019-03-04 11:22:00,1
2019-03-04 23:48:00,1
2019-03-06 17:21:00,1
2019-03-07 02:16:00,1
2019-03-07 11:02:00,1
2019-03-09 01:07:00,1
2019-03-09 01:40:00,1
2019-03-11 17:16:00,1
2019-03-12 00:23:00,1
2019-03-13 08:34:00,1
2019-03-14 04:07:00,1
2019-03-14 17:18:00,1
2019-03-15 01:37:00,1
2019-03-15 15:08:00,1
2019-03-17 06:41:00,1
2019-03-17 10:03:00,1
2019-03-18 03:18:00,1
2019-03-19 17:36:00,2
2019-03-20 21:21:00,1
2019-03-22 08:34:00,1
2019-03-24 19:27:00,1
2019-03-24 21:53:00,1
2019-03-25 13:17:00,1
2019-03-25 19:19:00,1
2019-03-26 12:22:00,1
2019-03-27 19:55:00,1
2019-03-29 22:25:00,1
2019-03-30 08:57:00,1
2019-03-30 17:04:00,1
2019-03-31 18:44:00,1
2019-04-01 23:04:00,1
2019-04-02 13:02:00,1
2019-04-04 21:52:00,1
2019-04-05 16:59:00,1
2019-04-06 03:07:00,1
2019-04-07 13:11:00,1
2019-04-07 15:09:00,1
2019-04-10 17:56:00,2
2019-04-13 03:56:00,1
2019-04-14 15:35:00,1
2019-04-15 20:03:00,1
2019-04-16 03:45:00,1
2019-04-16 10:34:00,1
2019-04-16 16:31:00,1
2019-04-18 00:53:00,1
2019-04-18 17:19:00,1
2019-04-19 00:28:00,1
2019-04-20 23:55:00,1
2019-04-21 09:32:00,1
2019-04-21 17:48:00,1
2019-04-22 12:45:00,1
2019-04-24 07:08:00,1
2019-04-26 12:30:00,1
2019-04-27 11:57:00,1
2019-04-28 11:04:00,1
2019-04-28 12:05:00,1
2019-04-28 13:21:00,1
2019-04-29 09:00:00,1
2019-04-29 13:39:00,1
2019-04-29 21:04:00,1
2019-04-30 07:29:00,1
2019-05-02 23:28:00,1
2019-05-04 01:06:00,1
2019-05-06 20:11:00,1
2019-05-08 02:34:00,1
2019-05-10 05:04:00,1
2019-05-11 02:19:00,1
2019-05-11 05:28:00,1
2019-05-12 13:06:00,1
2019-05-13 09:10:00,1
2019-05-13 10:55:00,1
2019-05-14 01:44:00,1
2019-05-19 23:51:00,1
2019-05-21 06:18:00,1
2019-05-21 13:10:00,1
2019-05-21 20:04:00,1
2019-05-23 04:26:00,1
2019-05-23 09:57:00,1
2019-05-24 00:28:00,1
2019-05-24 23:01:00,1
2019-05-25 00:05:00,1
2019-05-25 00:25:00,1
2019-05-25 17:19:00,1
2019-05-27 12:48:00,1
2019-05-29 03:47:00,1
2019-05-30 01:33:00,1
2019-05-31 00:11:00,1
2019-05-31 01:30:00,1
2019-05-31 04:15:00,1
2019-06-03 18:43:00,1
2019-06-04 08:23:00,1
2019-06-04 15:28:00,1
2019-06-09 02:19:00,1
2019-06-11 19:21:00,1
2019-06-11 23:19:00,1
2019-06-12 05:20:00,1
2019-06-14 09:09:00,1
2019-06-14 19:38:00,1
2019-06-15 00:15:00,1
2019-06-15 07:35:00,1
2019-06-17 21:25:00,1
2019-06-21 07:09:00,1
2019-06-21 17:46:00,1
2019-06-22 16:27:00,1
2019-06-23 06:33:00,1
2019-06-23 23:30:00,1
2019-06-24 15:48:00,1
2019-06-27 02:32:00,1
2019-06-27 11:25:00,1
2019-06-28 13:10:00,1
2019-06-29 17:31:00,1
2019-06-30 01:59:00,1
2019-07-01 11:03:00,1
2019-07-02 16:11:00,1
2019-07-03 20:38:00,1
2019-07-05 17:29:00,1
2019-07-05 22:00:00,1
2019-07-07 02:47:00,1
2019-07-07 22:47:00,1
2019-07-10 20:38:00,1
2019-07-13 10:09:00,1
2019-07-14 18:32:00,1
2019-07-14 20:33:00,1
2019-07-18 12:45:00,1
2019-07-18 22:57:00,1
2019-07-19 00:42:00,1
2019-07-20 01:24:00,1
2019-07-20 03:47:00,1
2019-07-20 04:53:00,1
2019-07-22 01:43:00,1
2019-07-22 02:47:00,1
2019-07-23 15:48:00,1
2019-07-24 12:19:00,1
2019-07-25 07:23:00,1
2019-07-26 10:10:00,1
2019-07-27 16:10:00,1
2019-07-28 22:55:00,1
2019-07-29 02:05:00,1
2019-07-29 16:24:00,1
2019-07-30 00:38:00,1
2019-07-30 03:01:00,1
2019-07-30 03:08:00,1
2019-07-30 11:45:00,1
2019-07-30 21:00:00,1
2019-07-30 21:34:00,1
2019-07-30 23:12:00,1
2019-07-31 18:41:00,1
2019-07-31 20:31:00,1
2019-08-05 00:16:00,1
2019-08-08 15:52:00,1
2019-08-09 08:47:00,1
2019-08-09 18:00:00,1
2019-08-10 01:55:00,1
2019-08-10 06:05:00,1
2019-08-12 21:29:00,1
2019-08-13 05:32:00,1
2019-08-13 17:51:00,1
2019-08-13 19:21:00,1
2019-08-16 15:58:00,1
2019-08-19 13:59:00,1
2019-08-21 13:31:00,1
2019-08-22 21:48:00,1
2019-08-23 14:34:00,1
2019-08-25 05:22:00,1
2019-08-25 07:53:00,1
2019-08-30 13:12:00,1
2019-08-31 19:35:00,1
2019-08-31 21:47:00,1
2019-09-02 13:00:00,1
2019-09-03 03:20:00,1
2019-09-03 20:24:00,1
2019-09-04 04:31:00,1
2019-09-05 05:28:00,1
2019-09-06 03:05:00,1
2019-09-08 09:37:00,1
2019-09-08 12:30:00,1
2019-09-08 18:15:00,1
2019-09-11 19:47:00,1
2019-09-11 23:14:00,1
2019-09-15 06:37:00,1
2019-09-16 23:38:00,1
2019-09-17 14:09:00,1
2019-09-17 18:10:00,1
2019-09-18 09:39:00,1
2019-09-18 12:34:00,1
2019-09-18 23:13:00,1
2019-09-19 00:37:00,1
2019-09-19 03:30:00,1
2019-09-19 18:27:00,1
2019-09-19 19:21:00,1
2019-09-19 22:54:00,1
2019-09-20 07:07:00,1
2019-09-20 11:35:00,1
2019-09-24 00:55:00,1
2019-09-24 04:16:00,1
2019-09-24 23:53:00,1
2019-09-25 06:22:00,1
2019-09-25 07:49:00,1
2019-09-25 19:31:00,1
2019-09-29 19:23:00,1
2019-10-01 01:24:00,1
2019-10-03 17:40:00,1
2019-10-04 01:52:00,1
2019-10-04 14:24:00,1
2019-10-06 14:49:00,1
2019-10-06 15:00:00,2
2019-10-06 16:08:00,1
2019-10-08 19:54:00,1
2019-10-10 08:02:00,1
2019-10-10 14:57:00,1
2019-10-11 05:09:00,1
2019-10-12 16:47:00,1
2019-10-13 19:49:00,1
2019-10-14 05:44:00,1
2019-10-14 07:16:00,1
2019-10-17 05:08:00,1
2019-10-17 05:54:00,1
2019-10-17 20:22:00,1
2019-10-18 06:31:00,1
2019-10-21 02:41:00,1
2019-10-21 21:40:00,1
2019-10-22 08:11:00,1
2019-10-22 22:30:00,1
2019-10-22 23:00:00,1
2019-10-23 19:01:00,1
2019-10-23 21:44:00,1
2019-10-26 14:33:00,1
2019-10-29 13:44:00,1
2019-10-29 16:19:00,1
2019-11-01 10:11:00,1
2019-11-02 04:38:00,1
2019-11-02 07:56:00,1
2019-11-02 08:11:00,1
2019-11-02 11:36:00,1
2019-11-02 21:14:00,1
2019-11-03 23:49:00,1
2019-11-04 16:53:00,1
