164,"select top # specobjid as name, ra, dec from SpecObj"
2019-01-04 16:58:00,1
2019-02-06 08:12:00,1
2019-02-12 23:27:00,1
2019-02-13 21:36:00,1
2019-02-14 19:19:00,1
2019-02-18 15:52:00,1
2019-02-18 16:04:00,2
2019-02-18 16:05:00,1
2019-02-18 16:06:00,1
2019-02-18 16:10:00,1
2019-02-18 16:12:00,1
2019-02-18 16:18:00,1
2019-02-18 16:21:00,1
2019-02-18 16:36:00,2
2019-02-18 16:37:00,1
2019-02-18 16:55:00,2
2019-02-18 16:56:00,2
2019-02-18 19:40:00,1
2019-02-18 20:23:00,1
2019-02-18 20:35:00,1
2019-02-21 13:17:00,1
2019-02-21 13:23:00,2
2019-02-21 13:25:00,2
2019-02-21 13:48:00,1
2019-02-21 13:51:00,1
2019-02-21 13:55:00,2
2019-02-22 01:08:00,1
2019-02-24 19:34:00,1
2019-02-28 16:37:00,1
2019-03-01 23:44:00,1
2019-03-01 23:52:00,1
2019-03-04 11:41:00,1
2019-03-08 11:47:00,1
2019-03-08 11:50:00,1
2019-03-10 15:28:00,1
2019-03-12 11:38:00,1
2019-03-17 04:09:00,1
2019-03-17 04:15:00,1
2019-03-17 04:23:00,1
2019-03-18 22:02:00,1
2019-03-25 18:08:00,1
2019-03-27 15:34:00,2
2019-03-28 16:33:00,1
2019-03-28 16:34:00,1
2019-03-28 16:35:00,1
2019-04-07 15:32:00,1
2019-04-12 02:12:00,1
2019-04-12 18:25:00,1
2019-04-23 07:19:00,1
2019-04-23 13:49:00,1
2019-04-25 22:51:00,1
2019-04-25 23:01:00,2
2019-04-25 23:25:00,1
2019-04-26 17:46:00,1
2019-05-03 11:49:00,2
2019-05-05 17:57:00,1
2019-05-08 23:52:00,1
2019-05-09 00:01:00,1
2019-05-09 00:17:00,1
2019-05-10 15:10:00,1
2019-05-12 06:16:00,2
2019-05-15 03:07:00,1
2019-05-19 06:43:00,1
2019-05-20 17:57:00,1
2019-05-31 13:18:00,1
2019-06-02 16:02:00,1
2019-06-03 13:56:00,1
2019-06-05 13:16:00,1
2019-06-11 15:22:00,1
2019-06-12 03:55:00,1
2019-06-15 01:47:00,1
2019-06-21 21:18:00,1
2019-06-25 14:21:00,1
2019-06-25 21:58:00,1
2019-06-25 22:07:00,1
2019-06-26 16:14:00,1
2019-06-26 16:16:00,1
2019-07-07 18:55:00,1
2019-07-08 01:43:00,1
2019-07-13 20:46:00,2
2019-07-13 20:47:00,1
2019-07-27 06:57:00,1
2019-07-27 07:01:00,1
2019-07-30 00:24:00,1
2019-07-31 17:42:00,1
2019-08-08 08:42:00,1
2019-08-10 12:39:00,1
2019-08-10 12:40:00,1
2019-08-10 12:44:00,9
2019-08-22 03:27:00,1
2019-08-30 08:18:00,2
2019-08-30 08:19:00,1
2019-09-16 22:52:00,1
2019-09-20 16:09:00,1
2019-09-21 01:25:00,1
2019-09-21 01:29:00,3
2019-09-21 01:30:00,1
2019-09-23 08:37:00,1
2019-09-23 18:07:00,2
2019-09-24 06:07:00,1
2019-09-24 06:08:00,1
2019-09-24 06:54:00,1
2019-09-28 23:40:00,1
2019-10-10 19:47:00,1
2019-10-13 17:52:00,1
2019-10-13 18:44:00,1
2019-10-21 23:35:00,1
2019-10-22 16:43:00,2
2019-10-22 16:51:00,1
2019-10-25 12:02:00,1
2019-10-25 12:03:00,1
2019-10-28 10:04:00,1
2019-10-28 10:08:00,1
2019-10-28 10:09:00,1
2019-10-28 10:10:00,1
2019-10-30 03:06:00,2
2019-10-31 18:24:00,1
2019-11-04 20:14:00,1
2019-11-05 18:16:00,1
2019-11-06 11:20:00,1
2019-11-06 11:26:00,1
2019-11-09 13:15:00,1
2019-11-09 13:16:00,1
2019-11-11 10:13:00,1
2019-11-11 10:16:00,1
2019-11-11 13:04:00,1
2019-11-13 15:43:00,1
2019-11-14 06:14:00,1
2019-11-14 06:15:00,1
2019-11-14 17:41:00,1
2019-11-14 17:42:00,1
2019-11-27 12:52:00,1
2019-11-28 19:17:00,1
2019-12-01 08:16:00,1
2019-12-04 01:18:00,1
2019-12-11 05:03:00,1
2019-12-16 18:31:00,1
2019-12-27 15:40:00,1
