5,"SELECT TOP # p.objid , p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.psfMag_u , p.psfMag_g , p.psfMag_r , p.psfMag_i , p.psfMag_z , p.modelMag_u , p.modelMag_g , p.modelMag_r , p.modelMag_i , p.modelMag_z , s.specobjid , s.class , s.z AS redshift INTO mydb.DR9_galaxies_with_modMag FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z BETWEEN # AND # AND s.class = GALAXY "
2019-06-09 08:53:00,2
2019-06-09 08:55:00,1
2019-06-09 08:56:00,2
