325,select fieldid from field where cccol_u between # and .# and skyframes_r between .# and #
2019-01-25 12:44:00,3
2019-01-25 12:45:00,5
2019-01-27 18:43:00,1
2019-01-27 18:47:00,3
2019-01-27 18:58:00,1
2019-01-27 19:01:00,1
2019-01-27 19:11:00,1
2019-01-27 19:15:00,1
2019-01-27 19:27:00,1
2019-01-27 19:28:00,1
2019-01-27 19:41:00,1
2019-01-27 19:43:00,1
2019-01-27 19:51:00,1
2019-01-27 19:54:00,1
2019-01-27 19:56:00,1
2019-01-27 20:00:00,1
2019-01-27 20:06:00,1
2019-01-27 20:10:00,1
2019-01-27 20:15:00,1
2019-01-27 20:19:00,1
2019-01-27 20:21:00,1
2019-01-27 20:29:00,1
2019-01-27 20:32:00,1
2019-01-27 20:34:00,1
2019-01-27 20:43:00,2
2019-01-27 20:48:00,1
2019-01-27 20:57:00,1
2019-01-27 21:09:00,7
2019-01-27 21:10:00,1
2019-01-27 21:22:00,2
2019-01-27 21:24:00,1
2019-01-27 21:25:00,1
2019-01-27 21:32:00,1
2019-01-27 21:36:00,1
2019-01-27 21:38:00,1
2019-01-27 21:40:00,1
2019-01-27 21:46:00,1
2019-01-27 21:50:00,1
2019-01-27 21:53:00,1
2019-01-27 21:54:00,1
2019-01-27 21:59:00,1
2019-01-27 22:03:00,1
2019-01-27 22:08:00,1
2019-01-27 22:10:00,1
2019-01-27 22:11:00,1
2019-01-27 22:16:00,1
2019-01-27 22:24:00,2
2019-01-27 22:26:00,1
2019-01-27 22:36:00,2
2019-01-27 22:42:00,1
2019-01-27 22:47:00,6
2019-01-27 23:00:00,1
2019-01-27 23:01:00,1
2019-01-27 23:02:00,2
2019-01-27 23:13:00,1
2019-01-27 23:16:00,2
2019-01-27 23:20:00,1
2019-01-27 23:27:00,1
2019-01-27 23:30:00,2
2019-01-27 23:34:00,1
2019-01-27 23:41:00,1
2019-01-27 23:43:00,1
2019-01-27 23:50:00,1
2019-01-27 23:51:00,1
2019-01-27 23:55:00,1
2019-01-28 00:00:00,1
2019-01-28 00:10:00,6
2019-01-28 00:24:00,2
2019-01-28 00:25:00,2
2019-01-28 00:37:00,1
2019-01-28 00:38:00,1
2019-01-28 00:39:00,1
2019-01-28 00:41:00,1
2019-01-28 00:51:00,1
2019-01-28 00:54:00,3
2019-01-28 01:04:00,1
2019-01-28 01:07:00,1
2019-01-28 01:08:00,1
2019-01-28 01:12:00,1
2019-01-28 01:16:00,1
2019-01-28 01:21:00,2
2019-01-28 01:26:00,1
2019-01-28 01:28:00,1
2019-01-28 01:34:00,1
2019-01-28 01:37:00,1
2019-01-28 01:38:00,1
2019-01-28 01:43:00,1
2019-01-28 01:47:00,1
2019-01-28 01:50:00,1
2019-01-28 01:54:00,1
2019-01-28 02:00:00,1
2019-01-28 02:01:00,1
2019-01-28 02:04:00,1
2019-01-28 02:06:00,1
2019-01-28 02:17:00,2
2019-01-28 02:25:00,1
2019-01-28 03:21:00,4
2019-01-28 03:22:00,2
2019-01-28 03:32:00,3
2019-01-28 03:41:00,1
2019-01-28 03:44:00,1
2019-01-28 03:51:00,1
2019-01-28 03:55:00,6
2019-01-28 04:08:00,1
2019-01-28 04:09:00,2
2019-01-28 04:10:00,1
2019-01-28 04:22:00,2
2019-01-28 04:23:00,1
2019-01-28 04:24:00,1
2019-01-28 04:35:00,1
2019-01-28 04:36:00,2
2019-01-28 04:41:00,1
2019-01-28 04:49:00,1
2019-01-28 04:50:00,2
2019-01-28 04:57:00,1
2019-01-28 05:03:00,1
2019-01-28 05:04:00,1
2019-01-28 05:05:00,1
2019-01-28 05:13:00,1
2019-01-28 05:16:00,1
2019-01-28 05:17:00,1
2019-01-28 05:22:00,1
2019-01-28 05:29:00,1
2019-01-28 05:31:00,2
2019-01-28 05:37:00,1
2019-01-28 05:43:00,1
2019-01-28 05:45:00,1
2019-01-28 05:46:00,1
2019-01-28 05:50:00,1
2019-01-28 05:59:00,1
2019-01-28 06:00:00,1
2019-01-28 06:04:00,2
2019-01-28 06:12:00,1
2019-01-28 06:19:00,1
2019-01-28 06:23:00,6
2019-01-28 06:37:00,1
2019-01-28 06:38:00,2
2019-01-28 06:39:00,1
2019-01-28 06:50:00,1
2019-01-28 06:53:00,1
2019-01-28 06:54:00,2
2019-01-28 07:04:00,1
2019-01-28 07:08:00,1
2019-01-28 07:09:00,1
2019-01-28 07:10:00,1
2019-01-28 07:18:00,1
2019-01-28 07:22:00,1
2019-01-28 07:24:00,2
2019-01-28 07:32:00,1
2019-01-28 07:38:00,2
2019-01-28 07:42:00,1
2019-01-28 07:46:00,1
2019-01-28 07:51:00,1
2019-01-28 07:58:00,1
2019-01-28 08:00:00,1
2019-01-28 08:06:00,1
2019-01-28 08:07:00,1
2019-01-28 08:20:00,4
2019-01-28 08:35:00,2
2019-01-28 08:36:00,1
2019-01-28 08:44:00,1
2019-01-28 08:48:00,2
2019-01-28 08:57:00,8
2019-01-28 09:10:00,2
2019-01-28 09:11:00,1
2019-01-28 09:12:00,1
2019-01-28 09:23:00,1
2019-01-28 09:24:00,2
2019-01-28 09:31:00,1
2019-01-28 09:36:00,1
2019-01-28 09:37:00,1
2019-01-28 09:40:00,1
2019-01-28 09:43:00,1
2019-01-28 09:49:00,1
2019-01-28 09:52:00,1
2019-01-28 09:53:00,1
2019-01-28 09:59:00,1
2019-01-28 10:03:00,1
2019-01-28 10:04:00,1
2019-01-28 10:06:00,1
2019-01-28 10:12:00,1
2019-01-28 10:15:00,1
2019-01-28 10:16:00,1
2019-01-28 10:26:00,1
2019-01-28 10:27:00,1
2019-01-28 10:32:00,1
2019-01-28 10:36:00,1
2019-01-28 10:41:00,5
2019-01-28 10:53:00,1
2019-01-28 10:54:00,1
2019-01-28 10:58:00,1
2019-01-28 11:02:00,1
2019-01-28 11:08:00,1
2019-01-28 11:15:00,3
2019-01-28 11:16:00,1
2019-01-28 11:25:00,1
2019-01-28 11:29:00,2
2019-01-28 11:31:00,1
2019-01-28 11:37:00,1
2019-01-28 11:39:00,1
2019-01-28 11:48:00,4
2019-01-28 11:58:00,3
2019-01-28 12:07:00,1
2019-01-28 12:08:00,1
2019-01-28 12:09:00,1
2019-01-28 12:17:00,1
2019-01-28 12:21:00,7
2019-01-28 12:30:00,1
2019-01-28 12:31:00,1
2019-01-28 12:33:00,1
2019-01-28 12:39:00,2
2019-01-28 12:44:00,1
2019-01-28 12:49:00,2
2019-01-28 12:51:00,1
2019-01-28 12:53:00,1
2019-01-28 12:55:00,1
2019-01-28 12:58:00,4
2019-01-28 13:00:00,1
2019-01-28 13:03:00,1
2019-01-28 13:06:00,1
2019-01-28 13:08:00,1
2019-01-28 13:09:00,1
2019-01-28 13:11:00,1
2019-01-28 13:13:00,1
2019-01-28 13:14:00,1
