261,select top #
2019-01-02 07:23:00,1
2019-01-07 18:11:00,1
2019-01-07 18:12:00,2
2019-01-07 18:14:00,1
2019-01-07 18:16:00,1
2019-01-07 18:18:00,1
2019-01-09 09:44:00,1
2019-01-09 09:46:00,2
2019-01-09 09:47:00,1
2019-01-18 08:00:00,1
2019-01-30 12:36:00,1
2019-01-30 12:37:00,1
2019-01-30 12:39:00,1
2019-01-30 12:40:00,1
2019-02-09 21:57:00,1
2019-02-12 11:54:00,1
2019-02-18 16:56:00,1
2019-02-21 00:31:00,2
2019-02-21 00:32:00,1
2019-02-21 00:34:00,1
2019-02-21 20:07:00,4
2019-03-12 02:18:00,2
2019-03-14 10:10:00,1
2019-03-14 10:11:00,3
2019-03-24 20:00:00,2
2019-03-24 20:08:00,2
2019-03-24 20:09:00,2
2019-03-24 20:11:00,2
2019-03-24 20:12:00,3
2019-03-24 20:13:00,1
2019-03-25 15:31:00,1
2019-03-25 15:33:00,1
2019-03-25 15:42:00,2
2019-03-25 15:45:00,1
2019-03-25 15:51:00,1
2019-03-25 15:54:00,1
2019-03-25 19:33:00,1
2019-04-09 11:58:00,1
2019-04-09 17:20:00,1
2019-04-09 19:25:00,1
2019-04-09 19:29:00,1
2019-04-10 12:19:00,1
2019-04-17 20:43:00,1
2019-04-20 23:18:00,1
2019-05-03 11:26:00,1
2019-05-17 03:21:00,1
2019-05-22 12:45:00,1
2019-05-22 13:04:00,1
2019-05-29 02:21:00,1
2019-06-01 20:01:00,2
2019-06-01 20:05:00,1
2019-06-12 08:50:00,1
2019-06-12 08:54:00,1
2019-06-12 08:55:00,3
2019-06-12 08:56:00,1
2019-06-23 06:11:00,1
2019-06-27 03:18:00,1
2019-06-27 03:19:00,1
2019-06-27 03:31:00,1
2019-06-27 03:44:00,1
2019-06-27 03:52:00,1
2019-06-27 03:53:00,4
2019-06-27 10:38:00,1
2019-06-27 10:39:00,2
2019-06-27 11:46:00,1
2019-06-27 12:55:00,1
2019-06-27 12:56:00,1
2019-07-08 17:56:00,1
2019-07-16 17:18:00,2
2019-07-18 18:48:00,1
2019-07-19 10:39:00,1
2019-07-19 10:43:00,1
2019-07-20 02:43:00,1
2019-07-26 18:18:00,1
2019-07-30 14:06:00,1
2019-07-30 14:07:00,2
2019-07-30 14:08:00,1
2019-08-08 08:42:00,1
2019-08-15 17:57:00,2
2019-09-04 02:09:00,1
2019-09-04 03:47:00,2
2019-09-05 02:14:00,3
2019-09-05 02:15:00,1
2019-09-05 02:16:00,2
2019-09-05 03:33:00,1
2019-09-05 03:34:00,3
2019-09-05 03:35:00,1
2019-09-05 03:36:00,1
2019-09-05 03:37:00,1
2019-09-05 03:38:00,2
2019-09-05 03:42:00,2
2019-09-05 06:17:00,1
2019-09-05 06:19:00,1
2019-09-05 06:20:00,1
2019-09-05 06:21:00,1
2019-09-05 06:22:00,1
2019-09-05 06:25:00,1
2019-09-05 06:26:00,1
2019-09-05 07:26:00,1
2019-09-05 07:27:00,1
2019-09-05 07:40:00,2
2019-09-05 07:43:00,1
2019-09-09 14:42:00,1
2019-09-09 14:44:00,2
2019-09-09 14:45:00,1
2019-09-09 14:56:00,1
2019-09-09 14:58:00,1
2019-09-09 15:00:00,1
2019-09-09 15:01:00,1
2019-09-09 15:02:00,2
2019-09-09 15:03:00,1
2019-09-09 15:04:00,2
2019-09-09 15:05:00,2
2019-09-09 15:06:00,2
2019-09-09 15:07:00,1
2019-09-09 15:09:00,1
2019-09-10 03:12:00,1
2019-09-10 03:13:00,2
2019-09-10 03:16:00,2
2019-09-10 03:17:00,1
2019-09-10 03:24:00,2
2019-09-10 03:25:00,2
2019-09-10 03:26:00,1
2019-09-10 03:27:00,1
2019-09-10 03:28:00,2
2019-09-10 03:30:00,1
2019-09-10 06:17:00,1
2019-09-10 06:31:00,1
2019-09-10 06:33:00,1
2019-09-10 06:38:00,1
2019-09-10 06:39:00,1
2019-09-10 06:40:00,1
2019-09-10 06:41:00,1
2019-09-10 06:43:00,1
2019-09-10 06:56:00,1
2019-09-10 06:58:00,1
2019-09-10 07:32:00,1
2019-09-10 07:36:00,1
2019-09-10 08:39:00,1
2019-09-10 08:43:00,2
2019-09-10 08:44:00,2
2019-09-10 08:47:00,2
2019-09-10 08:52:00,2
2019-09-10 08:53:00,1
2019-09-10 09:14:00,4
2019-09-10 12:11:00,1
2019-09-10 12:13:00,1
2019-09-10 12:15:00,1
2019-09-10 12:17:00,1
2019-09-10 12:18:00,1
2019-09-10 12:20:00,1
2019-09-10 12:42:00,1
2019-09-10 12:47:00,1
2019-09-10 13:02:00,1
2019-09-10 13:04:00,1
2019-09-10 13:13:00,1
2019-09-14 09:04:00,2
2019-09-14 10:21:00,2
2019-09-14 10:54:00,2
2019-09-14 10:55:00,2
2019-09-15 02:33:00,2
2019-09-15 02:34:00,1
2019-09-15 02:37:00,3
2019-09-15 02:38:00,2
2019-09-15 08:16:00,1
2019-09-15 08:40:00,1
2019-09-28 05:03:00,1
2019-10-04 09:37:00,1
2019-10-27 15:55:00,1
2019-10-27 15:56:00,1
2019-10-27 16:01:00,1
2019-11-02 09:17:00,1
2019-11-02 09:43:00,1
2019-11-02 09:44:00,1
2019-11-02 11:55:00,1
2019-11-08 20:38:00,1
2019-11-13 00:40:00,1
2019-11-13 00:41:00,1
2019-11-25 08:53:00,1
2019-11-29 17:56:00,1
2019-11-29 18:02:00,1
2019-11-29 18:03:00,1
2019-11-29 18:17:00,2
2019-11-29 18:18:00,2
2019-12-08 14:46:00,1
2019-12-10 16:28:00,1
2019-12-17 11:39:00,1
2019-12-17 12:11:00,1
2019-12-17 12:44:00,1
2019-12-30 01:41:00,2
2019-12-30 01:42:00,1
2019-12-30 01:45:00,4
2019-12-30 01:48:00,2
2019-12-30 01:49:00,1
