855,"select P.ra, P.dec, P.objID, P.u, P.err_u, P.g, P.err_g, P.r, P.err_r, P.i, P.err_i, P.z, P.err_z from PhotoPrimary as P, dbo.fGetNearbyObjEq (#, #, #) as N where P.objID = N.objID and P.type = # and P.r > = # and P.r < = #"
2019-01-01 06:20:00,1
2019-01-03 00:20:00,1
2019-01-05 20:20:00,1
2019-01-08 19:20:00,1
2019-01-09 00:20:00,1
2019-01-09 01:20:00,1
2019-01-09 12:20:00,1
2019-01-09 21:20:00,1
2019-01-11 23:20:00,1
2019-01-13 09:20:00,1
2019-01-14 19:20:00,1
2019-01-15 20:20:00,1
2019-01-16 14:20:00,1
2019-01-18 02:20:00,1
2019-01-22 12:20:00,1
2019-01-24 00:20:00,1
2019-01-25 21:20:00,1
2019-01-26 20:20:00,2
2019-01-29 22:20:00,1
2019-01-30 21:20:00,1
2019-01-31 03:20:00,1
2019-01-31 21:20:00,2
2019-02-01 09:20:00,1
2019-02-02 03:20:00,1
2019-02-05 22:20:00,1
2019-02-06 10:20:00,1
2019-02-11 04:20:00,1
2019-02-11 16:20:00,2
2019-02-12 02:20:00,1
2019-02-14 06:20:00,1
2019-02-14 07:20:00,1
2019-02-14 08:20:00,1
2019-02-14 20:20:00,1
2019-02-15 13:20:00,4
2019-02-19 18:20:00,1
2019-02-21 13:20:00,1
2019-02-27 20:20:00,1
2019-02-28 19:20:00,2
2019-03-03 19:20:00,1
2019-03-08 09:30:00,1
2019-03-08 17:55:00,1
2019-03-08 18:15:00,1
2019-03-09 14:35:00,1
2019-03-11 03:52:00,1
2019-03-12 16:25:00,1
2019-03-13 11:05:00,1
2019-03-13 20:40:00,1
2019-03-13 22:05:00,1
2019-03-16 00:15:00,1
2019-03-16 08:55:00,1
2019-03-16 09:00:00,1
2019-03-17 20:20:00,1
2019-03-18 05:00:00,1
2019-03-18 14:30:00,1
2019-03-18 14:40:00,1
2019-03-18 14:45:00,1
2019-03-18 21:10:00,1
2019-03-20 13:35:00,1
2019-03-24 18:15:00,1
2019-03-26 01:00:00,1
2019-03-27 19:10:00,1
2019-03-28 12:55:00,1
2019-03-28 20:25:00,1
2019-03-31 19:45:00,1
2019-04-01 18:35:00,1
2019-04-01 18:50:00,1
2019-04-01 19:00:00,1
2019-04-03 00:20:00,1
2019-04-03 21:50:00,1
2019-04-06 22:55:00,1
2019-04-07 18:51:00,1
2019-04-08 20:20:00,2
2019-04-08 20:55:00,1
2019-04-09 08:05:00,1
2019-04-10 00:40:00,1
2019-04-10 21:30:00,1
2019-04-10 21:40:00,1
2019-04-10 22:40:00,1
2019-04-11 01:50:00,1
2019-04-11 22:25:00,1
2019-04-12 00:20:00,1
2019-04-13 00:15:00,1
2019-04-13 01:20:00,1
2019-04-13 15:50:00,1
2019-04-13 16:00:00,1
2019-04-13 16:10:00,1
2019-04-13 16:15:00,1
2019-04-17 22:40:00,1
2019-04-17 22:55:00,1
2019-04-18 20:20:00,1
2019-04-19 14:35:00,1
2019-04-22 14:45:00,1
2019-04-23 22:05:00,1
2019-04-24 14:35:00,1
2019-04-24 14:40:00,1
2019-04-24 14:45:00,1
2019-04-24 14:50:00,1
2019-04-24 14:55:00,1
2019-04-24 20:30:00,1
2019-04-25 09:41:00,17
