10,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.subclass, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = # AND s.subclass = # AND p.u < # AND p.g < # AND p.r < # AND p.i < # AND p.z < #"
2019-06-14 13:10:00,2
2019-06-14 13:11:00,2
2019-06-14 13:12:00,2
2019-06-14 13:13:00,1
2019-06-14 13:14:00,2
2019-06-14 13:15:00,1
