32,"SELECT specObjID, ra, dec, z FROM dbo.fHtmCoverCircleEq (#, #, #) htm INNER LOOP JOIN SpecObj ON SpecObj.htmid BETWEEN htm.HtmIDStart AND htm.HtmIDEnd WHERE class = # AND z BETWEEN # AND #"
2019-02-11 13:58:00,1
2019-03-28 14:01:00,1
2019-03-28 15:52:00,1
2019-03-29 12:16:00,1
2019-03-29 16:59:00,1
2019-03-29 18:39:00,1
2019-03-29 18:51:00,1
2019-03-29 18:57:00,1
2019-03-29 19:01:00,1
2019-03-29 19:02:00,1
2019-03-29 19:03:00,1
2019-04-02 16:03:00,1
2019-04-02 16:46:00,1
2019-04-02 17:41:00,1
2019-04-02 17:44:00,1
2019-04-02 17:50:00,1
2019-04-03 15:04:00,1
2019-04-03 16:13:00,1
2019-04-03 17:12:00,1
2019-04-03 18:06:00,1
2019-04-03 18:36:00,1
2019-04-03 18:59:00,1
2019-04-04 16:13:00,1
2019-04-08 05:33:00,1
2019-04-08 06:02:00,1
2019-04-08 06:21:00,1
2019-04-08 06:40:00,1
2019-04-08 07:00:00,1
2019-04-08 07:25:00,1
2019-05-21 06:12:00,1
2019-05-21 07:07:00,1
2019-05-21 07:27:00,1
