24,"SELECT p.objid, p.ra, p.dec, p.petroMag_g, p.petroMagerr_g, p.extinction_g, p.petroMag_r, p.petroMagerr_r, p.extinction_r, p.probPSF, p.type into mydb.Ncas_NRGb2# FROM dbo.fGetNearbyObjEq (#, #, #) as b, PhotoObj as p WHERE b.objID = p.objID and p.petroMag_r - p.extinction_r < = #"
2019-01-17 15:33:00,3
2019-01-17 15:34:00,1
2019-01-17 15:35:00,3
2019-01-17 15:36:00,3
2019-01-17 15:37:00,3
2019-01-17 15:39:00,3
2019-01-17 15:40:00,5
2019-01-17 15:41:00,3
