159,select fieldid from field where cccol_u between # and -.# and skyframes_r between # and # and expapcorrectionerr_r between # and #
2019-01-25 07:43:00,8
2019-01-25 07:44:00,1
2019-01-25 07:47:00,6
2019-01-25 07:48:00,1
2019-01-25 07:49:00,3
2019-01-28 18:08:00,2
2019-01-28 18:10:00,1
2019-01-28 18:13:00,1
2019-01-28 18:14:00,2
2019-01-28 18:15:00,3
2019-01-28 18:18:00,2
2019-01-28 18:19:00,1
2019-01-28 18:22:00,2
2019-01-28 18:23:00,5
2019-01-28 18:25:00,5
2019-01-28 18:28:00,1
2019-01-28 18:30:00,2
2019-01-28 18:31:00,2
2019-01-28 18:32:00,1
2019-01-28 18:35:00,1
2019-01-28 18:36:00,1
2019-01-28 18:40:00,1
2019-01-28 18:41:00,6
2019-01-28 18:42:00,4
2019-01-28 18:43:00,2
2019-01-28 18:48:00,2
2019-01-28 18:49:00,2
2019-01-28 18:51:00,4
2019-01-28 18:52:00,1
2019-01-28 18:53:00,3
2019-01-28 18:55:00,1
2019-01-28 18:56:00,6
2019-01-28 18:57:00,1
2019-01-28 18:58:00,6
2019-01-28 19:01:00,1
2019-01-28 19:02:00,5
2019-01-28 19:05:00,1
2019-01-28 19:06:00,7
2019-01-28 19:08:00,1
2019-01-28 19:09:00,5
2019-01-28 19:10:00,3
2019-01-28 19:11:00,6
2019-01-28 19:12:00,1
2019-01-28 19:13:00,10
2019-01-28 19:14:00,12
2019-02-26 11:47:00,1
2019-02-26 11:48:00,4
2019-02-26 13:09:00,1
2019-02-26 13:10:00,2
2019-02-26 13:12:00,1
2019-02-26 13:13:00,1
2019-02-26 13:16:00,7
