5,"SELECT TOP # s.SpecObjID, s.z FROM SpecObj as s JOIN SpecLine as L ON s.specObjID = L.specObjID WHERE s.specClass = # L.LineID = #"
2019-09-27 11:00:00,1
2019-09-27 11:13:00,2
2019-09-27 11:15:00,2
