14,"SELECT TOP # s.dec, cast (str (s.ra, #, #) as float) as ra, s.z, s.zErr, p.i, p.mjd, p.objID, p.r, p.u, p.z FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.zWarning = # AND (s.class = #) AND (p.type = #)"
2019-11-18 10:53:00,1
2019-11-18 10:54:00,2
2019-11-18 10:55:00,1
2019-11-18 10:56:00,3
2019-11-18 10:57:00,1
2019-11-18 11:17:00,1
2019-11-18 11:20:00,1
2019-11-18 11:23:00,1
2019-11-18 11:26:00,1
2019-11-18 12:26:00,1
2019-11-20 06:39:00,1
