2,"select SpecObjAll.z, SpecObjAll.ra, SpecObjAll.dec from SpecObjAll where SpecObjAll.dec > # and SpecObjAll.dec < # and (SpecObjAll.ra > # and SpecObjAll.ra < #) and SpecObjAll.z > #"
2019-11-30 06:20:00,1
2019-11-30 06:21:00,1
