327,select apstar_id from apogeestar where apogeestar.ra between # and #
2019-02-26 21:58:00,2
2019-02-26 22:05:00,1
2019-02-27 00:37:00,2
2019-02-27 00:43:00,1
2019-02-28 12:15:00,4
2019-02-28 12:17:00,4
2019-02-28 12:22:00,4
2019-02-28 14:19:00,5
2019-03-01 09:04:00,3
2019-03-01 09:05:00,3
2019-03-01 09:33:00,1
2019-03-01 09:56:00,9
2019-03-01 10:04:00,9
2019-03-01 10:20:00,5
2019-03-01 10:23:00,4
2019-03-01 10:24:00,1
2019-03-01 13:53:00,3
2019-03-01 18:09:00,6
2019-03-02 02:40:00,4
2019-03-02 04:21:00,1
2019-03-02 04:46:00,1
2019-03-02 09:17:00,14
2019-03-03 10:07:00,1
2019-03-03 10:11:00,6
2019-03-03 10:30:00,3
2019-03-03 13:58:00,3
2019-03-03 14:33:00,1
2019-03-03 17:00:00,4
2019-03-04 05:53:00,1
2019-03-04 06:00:00,3
2019-03-04 06:08:00,1
2019-03-04 06:32:00,3
2019-03-05 06:09:00,3
2019-03-05 09:46:00,4
2019-03-05 09:55:00,3
2019-03-05 09:56:00,6
2019-03-05 09:57:00,1
2019-03-05 10:02:00,6
2019-03-05 10:03:00,2
2019-03-05 10:40:00,1
2019-03-05 10:49:00,1
2019-03-05 11:08:00,8
2019-03-05 11:17:00,3
2019-03-05 16:22:00,3
2019-03-05 16:24:00,1
2019-03-05 17:09:00,6
2019-03-05 17:10:00,15
2019-03-05 17:42:00,1
2019-03-05 17:44:00,8
2019-03-05 18:02:00,1
2019-03-05 18:03:00,3
2019-03-08 00:08:00,1
2019-03-08 03:10:00,23
2019-03-08 03:11:00,2
2019-03-08 08:46:00,2
2019-03-08 08:47:00,3
2019-03-12 07:28:00,48
2019-03-14 09:42:00,7
2019-03-14 09:50:00,15
2019-03-14 09:54:00,37
