28,"SELECT TOP # p.objId, p.ra, p.dec, p.petror9#_r, p.g, p.r, s.z FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND p.petror9#_r > #"
2019-01-31 16:58:00,1
2019-01-31 16:59:00,1
2019-01-31 17:00:00,1
2019-01-31 17:01:00,2
2019-02-04 13:26:00,1
2019-02-04 13:32:00,1
2019-02-04 13:34:00,1
2019-02-04 13:36:00,1
2019-02-04 13:38:00,1
2019-02-04 13:41:00,1
2019-02-04 13:42:00,2
2019-02-06 10:08:00,2
2019-02-06 10:11:00,3
2019-02-06 10:17:00,1
2019-02-06 10:23:00,2
2019-02-06 10:29:00,3
2019-02-06 10:30:00,1
2019-02-06 10:31:00,2
2019-02-06 10:35:00,1
