737,"INSERT INTO Census (ID, Geog) VALUES (#, geography::STGeomFromText ('POLYGON ((# #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, #"
2019-10-05 18:20:00,2
2019-10-05 18:26:00,24
2019-10-05 18:27:00,25
2019-10-05 18:28:00,48
2019-10-05 18:29:00,13
2019-10-05 18:35:00,10
2019-10-05 18:38:00,19
2019-10-05 18:39:00,39
2019-10-05 18:40:00,45
2019-10-05 18:41:00,21
2019-10-05 18:42:00,54
2019-10-05 18:43:00,40
2019-10-05 18:44:00,45
2019-10-05 18:45:00,46
2019-10-05 18:46:00,43
2019-10-05 18:47:00,39
2019-10-05 18:48:00,46
2019-10-05 18:49:00,47
2019-10-05 18:50:00,30
2019-10-05 18:51:00,51
2019-10-05 18:52:00,39
2019-10-05 18:53:00,11
