3,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.g-r as color, p.r from photoobj p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-06-25 20:41:00,1
2019-06-25 20:42:00,1
2019-06-25 20:43:00,1
