39,"SELECT TOP # s.plate, s.mjd, s.fiberid, s.z, s.zErr, s.zWarning, s.class FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = # AND (s.class = #)"
2019-01-01 04:47:00,1
2019-02-09 04:53:00,1
2019-02-09 04:54:00,1
2019-02-12 03:46:00,1
2019-03-11 16:19:00,1
2019-03-11 16:35:00,1
2019-03-11 16:37:00,1
2019-03-11 16:50:00,1
2019-03-11 16:52:00,2
2019-03-11 16:53:00,1
2019-03-11 17:02:00,1
2019-03-11 17:03:00,2
2019-03-11 17:04:00,1
2019-03-18 10:45:00,1
2019-03-19 22:05:00,1
2019-05-28 08:39:00,1
2019-06-04 20:13:00,1
2019-06-07 18:05:00,1
2019-06-20 14:47:00,1
2019-06-20 23:51:00,1
2019-06-20 23:53:00,1
2019-06-20 23:55:00,1
2019-06-20 23:56:00,2
2019-06-29 00:17:00,1
2019-09-29 01:56:00,1
2019-09-29 01:59:00,1
2019-10-17 01:21:00,1
2019-10-23 09:18:00,1
2019-11-05 10:30:00,1
2019-11-16 17:37:00,1
2019-11-18 18:09:00,1
2019-11-18 18:12:00,1
2019-11-18 18:13:00,1
2019-11-18 18:18:00,1
2019-11-18 18:25:00,1
2019-12-10 06:55:00,1
