34,select * from official_data0
2019-04-03 18:03:00,1
2019-04-03 18:07:00,1
2019-04-03 18:14:00,1
2019-04-03 18:23:00,1
2019-04-03 18:27:00,1
2019-04-03 19:44:00,1
2019-04-04 00:09:00,1
2019-04-04 00:18:00,1
2019-04-04 00:19:00,1
2019-04-04 00:23:00,1
2019-04-04 00:25:00,1
2019-04-04 00:28:00,2
2019-04-04 00:34:00,1
2019-04-04 00:52:00,1
2019-04-04 01:14:00,1
2019-04-04 03:55:00,1
2019-04-04 03:59:00,1
2019-04-05 00:54:00,1
2019-04-05 13:24:00,1
2019-04-05 13:29:00,1
2019-04-10 15:27:00,1
2019-04-12 15:22:00,1
2019-04-12 15:48:00,2
2019-04-12 16:14:00,2
2019-04-12 16:43:00,1
2019-04-12 17:10:00,1
2019-04-17 15:41:00,1
2019-04-17 15:42:00,1
2019-04-17 17:05:00,1
2019-04-17 17:20:00,1
2019-04-17 17:42:00,1
