719,"select u.*, p.objId, ltrim (str (p.ra, #, #) ) as ra, ltrim (str (p.dec, #, #) ) as dec, dbo.fPhotoTypeN (p.type) as type from #x x, #upload u, photoTag p where u.up_id = x.up_id and x.objID = p.objID and p.mode = # order by x.up_id"
2019-01-01 04:57:00,1
2019-01-02 17:09:00,1
2019-01-03 13:19:00,1
2019-01-07 06:14:00,1
2019-01-07 10:43:00,1
2019-01-07 21:48:00,1
2019-01-08 08:00:00,1
2019-01-09 21:36:00,1
2019-01-10 07:50:00,1
2019-01-11 07:10:00,1
2019-01-11 18:57:00,1
2019-01-13 08:11:00,1
2019-01-13 10:57:00,1
2019-01-14 15:15:00,1
2019-01-15 02:05:00,1
2019-01-15 09:52:00,1
2019-01-16 16:07:00,1
2019-01-16 19:45:00,1
2019-01-17 16:23:00,1
2019-01-18 12:18:00,1
2019-01-18 17:01:00,1
2019-01-18 19:52:00,1
2019-01-20 13:58:00,1
2019-01-20 19:06:00,1
2019-01-21 21:56:00,1
2019-01-23 14:18:00,1
2019-01-24 00:00:00,1
2019-01-27 01:14:00,1
2019-01-27 14:15:00,1
2019-01-28 02:33:00,1
2019-01-28 19:54:00,1
2019-01-29 13:41:00,1
2019-01-30 12:37:00,1
2019-01-30 23:23:00,1
2019-01-31 21:47:00,1
2019-02-01 10:51:00,1
2019-02-01 20:19:00,1
2019-02-02 05:40:00,1
2019-02-03 16:27:00,1
2019-02-04 21:16:00,1
2019-02-04 23:11:00,1
2019-02-05 08:01:00,1
2019-02-05 13:23:00,1
2019-02-06 10:24:00,1
2019-02-06 12:02:00,1
2019-02-07 02:44:00,1
2019-02-07 04:49:00,1
2019-02-07 05:07:00,1
2019-02-08 15:41:00,1
2019-02-09 01:31:00,1
2019-02-09 01:47:00,1
2019-02-09 10:33:00,1
2019-02-11 05:50:00,1
2019-02-11 08:29:00,1
2019-02-11 11:57:00,1
2019-02-11 22:04:00,1
2019-02-12 02:42:00,1
2019-02-14 09:32:00,1
2019-02-15 02:21:00,1
2019-02-17 13:11:00,1
2019-02-17 14:03:00,1
2019-02-18 00:36:00,1
2019-02-18 07:21:00,1
2019-02-18 09:50:00,1
2019-02-18 22:25:00,1
2019-02-19 00:05:00,1
2019-02-19 00:06:00,1
2019-02-19 10:03:00,1
2019-02-19 10:41:00,1
2019-02-21 07:56:00,1
2019-02-24 03:41:00,1
2019-02-24 10:08:00,1
2019-02-24 21:56:00,1
2019-02-25 22:48:00,1
2019-02-26 09:53:00,1
2019-02-26 12:09:00,1
2019-02-26 21:31:00,1
2019-02-26 23:00:00,1
2019-02-27 13:13:00,1
2019-02-28 06:30:00,1
2019-02-28 06:53:00,1
2019-02-28 12:11:00,1
2019-02-28 20:21:00,1
2019-03-02 05:14:00,1
2019-03-02 23:45:00,1
2019-03-03 03:09:00,1
2019-03-04 04:45:00,1
2019-03-04 13:34:00,1
2019-03-05 02:12:00,1
2019-03-05 11:28:00,1
2019-03-06 00:54:00,1
2019-03-06 04:45:00,1
2019-03-06 13:46:00,1
2019-03-06 18:47:00,1
2019-03-07 02:08:00,1
2019-03-07 07:57:00,1
2019-03-07 15:33:00,1
2019-03-07 16:32:00,1
2019-03-07 17:38:00,1
2019-03-07 21:42:00,1
2019-03-08 09:34:00,1
2019-03-08 14:08:00,1
2019-03-08 15:28:00,1
2019-03-08 17:58:00,1
2019-03-08 23:51:00,1
2019-03-10 06:23:00,1
2019-03-11 20:56:00,1
2019-03-15 06:06:00,1
2019-03-15 10:19:00,1
2019-03-15 18:13:00,1
2019-03-17 22:56:00,1
2019-03-18 11:45:00,1
2019-03-18 19:38:00,1
2019-03-19 08:52:00,1
2019-03-20 06:26:00,1
2019-03-21 18:08:00,1
2019-03-23 20:30:00,1
2019-03-24 03:01:00,1
2019-03-26 13:17:00,1
2019-03-26 21:39:00,1
2019-03-28 10:24:00,1
2019-03-28 22:50:00,1
2019-03-30 10:30:00,1
2019-03-30 23:24:00,1
2019-03-31 05:20:00,1
2019-03-31 22:28:00,1
2019-04-01 02:35:00,1
2019-04-01 09:18:00,1
2019-04-02 00:54:00,1
2019-04-02 16:03:00,1
2019-04-02 23:20:00,1
2019-04-03 01:25:00,1
2019-04-04 01:46:00,1
2019-04-05 00:29:00,1
2019-04-05 04:02:00,1
2019-04-05 05:55:00,1
2019-04-05 06:20:00,1
2019-04-05 16:13:00,1
2019-04-07 00:01:00,1
2019-04-08 06:03:00,1
2019-04-08 19:05:00,1
2019-04-08 22:09:00,1
2019-04-09 03:10:00,1
2019-04-09 07:48:00,1
2019-04-10 01:26:00,1
2019-04-10 04:50:00,1
2019-04-13 07:09:00,1
2019-04-13 12:01:00,1
2019-04-13 15:28:00,1
2019-04-14 13:41:00,1
2019-04-14 16:15:00,1
2019-04-15 08:22:00,1
2019-04-15 11:26:00,1
2019-04-16 09:55:00,1
2019-04-16 16:59:00,1
2019-04-17 05:54:00,1
2019-04-17 11:19:00,1
2019-04-17 11:49:00,1
2019-04-17 12:04:00,1
2019-04-18 01:12:00,1
2019-04-18 01:51:00,1
2019-04-18 05:58:00,1
2019-04-18 08:21:00,1
2019-04-18 12:29:00,1
2019-04-18 14:04:00,1
2019-04-18 16:56:00,1
2019-04-18 21:11:00,1
2019-04-19 04:00:00,1
2019-04-19 05:45:00,1
2019-04-19 17:40:00,1
2019-04-19 20:24:00,1
2019-04-19 21:40:00,1
2019-04-20 02:18:00,1
2019-04-20 03:47:00,1
2019-04-20 06:44:00,1
2019-04-20 07:02:00,1
2019-04-20 08:46:00,1
2019-04-21 11:07:00,1
2019-04-21 17:46:00,1
2019-04-21 21:51:00,1
2019-04-22 16:58:00,1
2019-04-22 17:58:00,1
2019-04-24 01:51:00,1
2019-04-24 21:15:00,1
2019-04-25 02:55:00,1
2019-04-26 08:50:00,1
2019-04-26 19:22:00,1
2019-04-26 23:26:00,1
2019-04-27 02:45:00,1
2019-04-27 11:36:00,1
2019-04-27 14:05:00,1
2019-04-27 14:23:00,1
2019-04-27 15:43:00,1
2019-04-28 05:07:00,1
2019-04-28 14:42:00,1
2019-04-28 16:54:00,1
2019-04-28 19:53:00,1
2019-04-28 22:34:00,1
2019-04-29 09:45:00,1
2019-04-30 12:37:00,1
2019-04-30 15:54:00,1
2019-05-01 06:10:00,1
2019-05-02 19:29:00,1
2019-05-02 21:11:00,1
2019-05-03 13:09:00,1
2019-05-04 09:52:00,1
2019-05-06 11:11:00,1
2019-05-06 15:11:00,1
2019-05-07 12:11:00,1
2019-05-09 15:27:00,1
2019-05-09 22:53:00,1
2019-05-10 14:11:00,1
2019-05-10 16:45:00,1
2019-05-10 17:17:00,1
2019-05-11 12:25:00,1
2019-05-12 22:13:00,1
2019-05-13 22:25:00,1
2019-05-14 22:26:00,1
2019-05-15 00:11:00,1
2019-05-15 05:33:00,1
2019-05-15 19:17:00,1
2019-05-16 00:19:00,1
2019-05-16 15:23:00,1
2019-05-16 18:44:00,1
2019-05-16 20:59:00,1
2019-05-17 04:02:00,1
2019-05-17 14:25:00,1
2019-05-17 18:55:00,1
2019-05-17 23:38:00,1
2019-05-18 23:59:00,1
2019-05-20 21:04:00,1
2019-05-22 23:47:00,1
2019-05-23 02:46:00,1
2019-05-23 03:31:00,1
2019-05-23 09:06:00,1
2019-05-23 12:02:00,1
2019-05-23 15:50:00,1
2019-05-24 02:35:00,1
2019-05-24 06:35:00,1
2019-05-24 22:04:00,2
2019-05-25 09:33:00,1
2019-05-25 18:45:00,1
2019-05-26 01:35:00,1
2019-05-26 10:49:00,1
2019-05-26 14:15:00,1
2019-05-27 22:34:00,1
2019-05-27 23:31:00,1
2019-05-28 00:48:00,1
2019-05-28 15:30:00,1
2019-05-29 06:06:00,1
2019-05-29 09:02:00,1
2019-05-30 00:09:00,1
2019-05-30 01:42:00,1
2019-05-30 09:47:00,1
2019-05-30 14:07:00,1
2019-05-31 23:02:00,1
2019-06-01 10:42:00,1
2019-06-02 12:20:00,1
2019-06-02 14:02:00,1
2019-06-03 10:48:00,1
2019-06-04 00:34:00,1
2019-06-04 01:00:00,1
2019-06-05 03:58:00,1
2019-06-06 20:58:00,1
2019-06-07 15:21:00,1
2019-06-08 07:32:00,1
2019-06-08 16:58:00,1
2019-06-09 23:19:00,1
2019-06-12 20:04:00,1
2019-06-13 12:22:00,1
2019-06-13 21:14:00,1
2019-06-13 22:39:00,1
2019-06-14 06:14:00,1
2019-06-14 08:03:00,1
2019-06-15 08:17:00,1
2019-06-15 11:07:00,1
2019-06-16 06:37:00,1
2019-06-17 04:32:00,1
2019-06-17 13:38:00,1
2019-06-19 01:48:00,1
2019-06-19 03:57:00,1
2019-06-19 12:37:00,1
2019-06-19 12:57:00,1
2019-06-20 02:34:00,1
2019-06-20 07:23:00,1
2019-06-20 19:12:00,1
2019-06-22 08:14:00,1
2019-06-23 08:48:00,1
2019-06-24 05:35:00,1
2019-06-24 16:31:00,1
2019-06-25 08:18:00,1
2019-06-25 10:31:00,1
2019-06-25 18:19:00,1
2019-06-26 06:16:00,1
2019-06-26 06:55:00,1
2019-06-26 16:08:00,1
2019-06-26 16:37:00,1
2019-06-27 03:01:00,1
2019-06-27 12:18:00,1
2019-06-27 19:03:00,1
2019-06-28 04:41:00,1
2019-06-28 09:17:00,1
2019-06-28 12:56:00,1
2019-06-29 14:14:00,1
2019-06-30 00:40:00,1
