497,"SELECT ra, dec, u, Err_u, g, Err_g, r, Err_r, i, Err_i, z, Err_z FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g< #"
2019-01-02 10:14:00,7
2019-01-02 10:15:00,2
2019-01-02 10:23:00,1
2019-01-02 10:49:00,3
2019-01-02 10:50:00,2
2019-01-03 13:10:00,2
2019-01-03 13:11:00,6
2019-01-03 13:12:00,6
2019-01-06 09:10:00,3
2019-01-06 09:11:00,3
2019-01-06 09:29:00,2
2019-01-06 22:21:00,2
2019-01-06 22:22:00,3
2019-01-06 22:43:00,2
2019-01-06 22:44:00,1
2019-01-07 11:52:00,2
2019-01-07 11:53:00,4
2019-01-07 16:22:00,2
2019-01-07 16:23:00,3
2019-01-07 16:24:00,1
2019-01-07 17:43:00,3
2019-01-08 12:21:00,1
2019-01-08 15:25:00,4
2019-01-11 14:02:00,8
2019-01-11 14:03:00,4
2019-01-11 14:04:00,4
2019-01-11 14:05:00,3
2019-01-11 14:06:00,6
2019-01-11 17:26:00,1
2019-01-13 10:23:00,2
2019-01-13 10:24:00,1
2019-01-14 09:47:00,2
2019-01-14 09:48:00,6
2019-01-14 09:49:00,1
2019-01-14 15:24:00,1
2019-01-14 15:31:00,6
2019-01-14 15:32:00,2
2019-01-14 15:33:00,3
2019-01-14 15:34:00,2
2019-01-15 11:35:00,1
2019-01-15 16:45:00,1
2019-01-15 20:12:00,1
2019-01-15 20:15:00,1
2019-01-15 20:55:00,1
2019-01-15 21:28:00,2
2019-01-16 08:35:00,1
2019-01-16 15:22:00,1
2019-01-17 10:36:00,1
2019-01-17 10:37:00,3
2019-01-17 10:38:00,1
2019-01-17 10:42:00,1
2019-01-17 14:23:00,1
2019-01-17 14:36:00,1
2019-01-17 14:39:00,1
2019-01-17 14:40:00,2
2019-01-17 14:46:00,1
2019-01-17 15:51:00,1
2019-01-17 18:38:00,2
2019-01-17 18:39:00,2
2019-01-17 18:53:00,2
2019-01-17 18:55:00,1
2019-01-18 08:31:00,2
2019-01-18 08:36:00,1
2019-01-18 08:42:00,1
2019-01-18 08:51:00,2
2019-01-18 08:53:00,1
2019-01-18 08:55:00,2
2019-01-18 08:56:00,1
2019-01-18 09:00:00,1
2019-01-18 09:06:00,1
2019-01-18 09:13:00,1
2019-01-18 09:33:00,5
2019-01-18 10:32:00,1
2019-01-18 10:54:00,1
2019-01-18 10:55:00,1
2019-01-18 10:56:00,2
2019-01-18 15:18:00,2
2019-01-18 15:20:00,1
2019-01-18 15:21:00,1
2019-01-18 15:30:00,1
2019-01-18 20:10:00,2
2019-01-18 20:11:00,8
2019-01-19 13:43:00,4
2019-01-19 16:49:00,5
2019-01-20 09:36:00,5
2019-01-20 09:37:00,3
2019-01-20 09:38:00,4
2019-01-20 09:42:00,4
2019-01-20 13:06:00,3
2019-01-20 22:52:00,3
2019-01-21 09:16:00,3
2019-01-21 09:19:00,1
2019-01-21 16:17:00,6
2019-01-21 16:18:00,2
2019-01-21 17:31:00,2
2019-01-21 17:32:00,4
2019-01-21 21:34:00,1
2019-01-21 21:44:00,2
2019-01-21 21:47:00,1
2019-01-21 21:50:00,1
2019-01-21 21:54:00,10
2019-01-21 21:55:00,4
2019-01-21 21:56:00,5
2019-01-21 22:01:00,1
2019-01-21 22:05:00,2
2019-01-21 22:06:00,1
2019-01-22 07:28:00,1
2019-01-22 07:40:00,1
2019-01-22 08:23:00,2
2019-01-22 10:39:00,1
2019-01-22 11:29:00,1
2019-01-22 11:44:00,1
2019-01-22 11:55:00,7
2019-01-22 13:27:00,1
2019-01-22 13:40:00,8
2019-01-22 13:53:00,1
2019-01-22 14:02:00,6
2019-01-22 14:33:00,3
2019-01-22 14:38:00,1
2019-01-23 09:44:00,2
2019-01-23 09:46:00,5
2019-01-23 09:47:00,2
2019-01-23 09:52:00,1
2019-01-23 09:53:00,1
2019-01-23 09:54:00,3
2019-01-23 10:56:00,2
2019-01-23 13:46:00,4
2019-01-23 17:53:00,5
2019-01-24 09:34:00,1
2019-01-24 09:41:00,2
2019-01-24 09:42:00,1
2019-01-24 09:43:00,1
2019-01-24 09:46:00,3
2019-01-24 10:00:00,1
2019-01-24 10:18:00,1
2019-01-24 10:19:00,2
2019-01-24 10:20:00,5
2019-01-24 10:22:00,1
2019-01-24 10:32:00,4
2019-01-24 10:33:00,12
2019-01-24 10:34:00,7
2019-01-24 10:55:00,2
2019-01-24 10:57:00,1
2019-01-24 10:58:00,2
2019-01-24 18:23:00,1
2019-01-24 18:35:00,1
2019-01-24 18:48:00,2
2019-01-24 18:52:00,2
2019-01-24 18:53:00,1
2019-01-24 18:54:00,3
2019-01-24 18:59:00,1
2019-01-24 19:02:00,1
2019-01-25 09:03:00,9
2019-01-27 10:02:00,1
2019-02-05 11:46:00,4
2019-02-05 11:48:00,1
2019-02-07 20:17:00,4
2019-02-07 20:18:00,6
2019-02-07 20:19:00,2
2019-02-07 20:23:00,2
2019-02-07 20:31:00,2
2019-02-07 20:32:00,2
2019-02-07 20:35:00,2
2019-02-07 20:42:00,1
2019-02-07 20:48:00,2
2019-02-20 08:29:00,2
2019-03-11 21:25:00,16
2019-06-12 10:00:00,1
2019-06-12 10:01:00,12
2019-08-14 09:53:00,1
2019-08-14 09:54:00,1
2019-08-14 09:55:00,2
2019-08-14 09:56:00,6
2019-09-04 11:27:00,4
2019-10-09 09:52:00,2
2019-10-09 14:02:00,5
2019-10-09 14:03:00,2
2019-10-09 14:04:00,2
2019-10-09 14:45:00,1
2019-10-09 14:46:00,1
2019-10-09 14:49:00,1
2019-10-09 14:50:00,1
2019-10-09 14:51:00,1
2019-10-09 14:52:00,1
2019-10-10 09:15:00,4
2019-10-15 06:03:00,3
2019-10-15 06:04:00,7
2019-10-15 06:08:00,2
2019-10-15 06:09:00,3
