30,"SELECT ra, dec FROM Star WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-03-21 12:54:00,1
2019-03-21 16:48:00,2
2019-03-21 16:49:00,1
2019-03-22 02:44:00,1
2019-03-22 02:51:00,1
2019-03-22 03:20:00,1
2019-03-22 03:21:00,1
2019-03-22 03:22:00,1
2019-03-22 03:23:00,1
2019-03-22 03:34:00,1
2019-03-22 03:35:00,2
2019-03-22 03:36:00,2
2019-03-22 03:37:00,2
2019-03-22 03:55:00,1
2019-03-22 03:58:00,1
2019-03-22 03:59:00,1
2019-03-22 04:01:00,1
2019-03-22 07:02:00,1
2019-03-22 07:04:00,1
2019-03-22 07:05:00,1
2019-03-22 07:12:00,1
2019-03-22 07:17:00,1
2019-03-22 07:19:00,1
2019-03-22 07:20:00,1
2019-03-22 07:21:00,1
2019-03-22 07:24:00,1
