40,"select s.plate, s.mjd, s.fiberid, spp.TEFFADOP, spp.LOGGADOP, spp.FEHADOP FROM SpecObjAll as s, SpecPhotoAll as ph, sppParams as spp where s.SPECOBJID = spp.SPECOBJID and spp.SPECOBJID = ph.specObjID and s.class = # and s.subclass like # and spp.snr> =# and spp.snr< =#"
2019-01-16 01:01:00,3
2019-01-16 01:02:00,3
2019-01-16 01:03:00,1
2019-01-17 07:58:00,1
2019-01-17 07:59:00,4
2019-01-17 08:00:00,2
2019-01-17 08:41:00,1
2019-01-17 08:42:00,3
2019-01-17 08:43:00,3
2019-01-18 00:53:00,5
2019-01-18 00:54:00,3
2019-01-18 02:27:00,1
2019-01-18 02:28:00,5
2019-01-18 02:29:00,1
2019-10-10 12:25:00,2
2019-10-10 12:26:00,1
2019-10-15 12:40:00,1
