24,"select top # p.objid, p.ra, p.dec from galaxy p"
2019-01-22 20:47:00,1
2019-02-17 15:00:00,1
2019-02-22 16:32:00,1
2019-03-26 07:52:00,1
2019-03-26 07:53:00,2
2019-03-26 07:54:00,1
2019-03-26 08:03:00,1
2019-03-26 08:09:00,1
2019-04-01 11:59:00,1
2019-04-01 12:00:00,1
2019-04-28 07:09:00,1
2019-05-16 23:02:00,2
2019-05-16 23:03:00,2
2019-07-05 10:32:00,1
2019-07-11 02:27:00,1
2019-07-12 17:03:00,1
2019-09-11 03:17:00,1
2019-09-16 09:22:00,1
2019-09-20 13:58:00,1
2019-10-12 00:49:00,1
2019-10-17 20:05:00,1
