20,"SELECT TOP # objID, field, ra, dec into mydb.MyTable_# from PhotoPrimary WHERE ra > #. and ra < # and dec > #. and dec < #"
2019-01-30 08:56:00,1
2019-02-12 00:32:00,1
2019-02-24 19:15:00,2
2019-03-01 00:54:00,1
2019-03-15 04:46:00,1
2019-03-15 04:47:00,1
2019-03-24 11:38:00,1
2019-03-27 09:36:00,1
2019-04-12 10:09:00,1
2019-04-30 12:42:00,1
2019-05-01 10:43:00,1
2019-06-29 09:37:00,1
2019-06-29 09:51:00,1
2019-07-03 12:47:00,1
2019-07-03 12:51:00,1
2019-08-10 09:08:00,1
2019-08-10 09:14:00,1
2019-08-10 09:22:00,1
2019-08-10 09:28:00,1
