5,"SELECT TOP # p.ra, p.dec, p.z, dbo.fIAUFromEq (p.ra, p.dec) FROM PhotoObj AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-07-13 22:54:00,1
2019-07-13 23:00:00,1
2019-07-13 23:01:00,2
2019-07-13 23:02:00,1
