6213,"SELECT top # p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n JOIN PhotoPrimary p ON n.objID = p.objID"
2019-01-04 18:05:00,2
2019-01-04 18:10:00,1
2019-01-13 06:18:00,1
2019-01-14 16:28:00,1
2019-01-29 00:23:00,1
2019-02-20 05:24:00,1
2019-03-11 03:17:00,1
2019-03-11 21:39:00,1
2019-03-11 21:41:00,2
2019-03-11 21:42:00,2
2019-03-11 21:43:00,2
2019-03-11 21:44:00,2
2019-03-11 21:45:00,1
2019-03-11 21:46:00,2
2019-03-11 21:47:00,2
2019-03-11 21:48:00,1
2019-03-11 21:49:00,2
2019-03-11 21:50:00,1
2019-03-11 21:51:00,2
2019-03-11 21:52:00,1
2019-03-11 21:53:00,2
2019-03-11 21:54:00,1
2019-03-11 21:55:00,2
2019-03-11 21:56:00,1
2019-03-11 21:57:00,1
2019-03-11 21:58:00,2
2019-03-11 21:59:00,1
2019-03-11 22:00:00,2
2019-03-11 22:01:00,1
2019-03-11 22:02:00,1
2019-03-11 22:03:00,2
2019-03-11 22:04:00,1
2019-03-11 22:05:00,1
2019-03-11 22:06:00,1
2019-03-11 22:07:00,1
2019-03-11 22:08:00,1
2019-03-11 22:09:00,1
2019-03-11 22:10:00,2
2019-03-11 22:11:00,1
2019-03-11 22:12:00,1
2019-03-11 22:13:00,1
2019-03-11 22:14:00,1
2019-03-11 22:15:00,2
2019-03-11 22:16:00,1
2019-03-11 22:17:00,1
2019-03-11 22:18:00,1
2019-03-11 22:19:00,1
2019-03-11 22:20:00,2
2019-03-11 22:21:00,1
2019-03-11 22:22:00,1
2019-03-11 22:23:00,1
2019-03-11 22:27:00,1
2019-03-11 22:28:00,2
2019-03-11 22:29:00,2
2019-03-11 22:30:00,2
2019-03-11 22:31:00,2
2019-03-11 22:32:00,1
2019-03-11 22:33:00,2
2019-03-11 22:34:00,1
2019-03-11 22:35:00,2
2019-03-11 22:36:00,2
2019-03-11 22:37:00,1
2019-03-11 22:38:00,2
2019-03-11 22:39:00,1
2019-03-11 22:40:00,2
2019-03-11 22:41:00,1
2019-03-11 22:42:00,2
2019-03-11 22:43:00,1
2019-03-11 22:44:00,2
2019-03-11 22:45:00,1
2019-03-11 22:46:00,2
2019-03-11 22:47:00,1
2019-03-11 22:48:00,2
2019-03-11 22:49:00,1
2019-03-11 22:50:00,2
2019-03-11 22:51:00,1
2019-03-11 22:52:00,2
2019-03-11 22:53:00,1
2019-03-11 22:54:00,2
2019-03-11 22:55:00,1
2019-03-11 22:56:00,2
2019-03-11 22:57:00,1
2019-03-11 22:58:00,2
2019-03-11 22:59:00,1
2019-03-11 23:00:00,1
2019-03-11 23:01:00,2
2019-03-11 23:02:00,1
2019-03-11 23:03:00,2
2019-03-11 23:04:00,1
2019-03-11 23:05:00,1
2019-03-11 23:06:00,1
2019-03-11 23:07:00,1
2019-03-11 23:08:00,2
2019-03-11 23:10:00,1
2019-03-11 23:11:00,1
2019-03-11 23:12:00,1
2019-03-11 23:13:00,1
2019-03-11 23:15:00,1
2019-03-11 23:16:00,1
2019-03-11 23:17:00,1
2019-03-11 23:18:00,1
2019-03-11 23:20:00,1
2019-03-11 23:21:00,1
2019-03-21 02:31:00,1
2019-03-21 22:09:00,1
2019-03-25 02:09:00,1
2019-03-29 20:01:00,1
2019-03-30 22:26:00,1
2019-03-31 21:30:00,1
2019-04-07 07:29:00,1
2019-04-14 03:57:00,1
2019-04-14 16:50:00,1
2019-04-17 18:30:00,1
2019-04-22 16:20:00,1
2019-04-22 16:21:00,1
2019-05-02 08:51:00,1
2019-05-14 22:17:00,1
2019-05-17 02:54:00,1
2019-05-29 17:20:00,1
2019-06-07 15:24:00,1
2019-06-11 11:24:00,1
2019-06-14 09:28:00,1
2019-06-18 20:51:00,1
2019-06-26 03:27:00,1
2019-06-28 13:17:00,1
2019-07-08 17:42:00,1
2019-07-10 05:51:00,1
2019-07-23 18:45:00,1
2019-07-30 20:06:00,1
2019-08-06 01:53:00,1
2019-08-09 13:35:00,1
