16,"SELECT n.distance, pz.* FROM SpecPhotoAll as pz JOIN dbo.fGetNearestObjEq (#, #, #) AS n ON pz.objid = n.objid ORDER by n.distance"
2019-04-10 19:55:00,1
2019-04-10 19:56:00,11
2019-04-10 20:04:00,1
2019-04-10 20:05:00,3
